ENTREZID	final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule	mapped_SYMBOL	mapped_ENSEMBL	ensembl_available_in_GSE161731	symbol_available_in_GSE161731
10521	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	DDX17		DEAD-box helicase 17		-0.363512051653266	0.0261455091444421	-0.576034957977209	-0.127554680048752	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.365450145137718	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	DDX17	ENSG00000100201	TRUE	FALSE
10527	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	IPO7		importin 7		-0.520477666952167	0.0215637021924385	-0.499800552374258	-0.619406324964489	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.523252635128697	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IPO7	ENSG00000205339	TRUE	FALSE
10561	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	IFI44		interferon induced protein 44		-3.22998246743249	7.64604056556556e-21	-3.7013174567019	-2.72847853857304	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFI44	ENSG00000137965	TRUE	FALSE
10561	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	IFI44		interferon induced protein 44		-3.22998246743249	7.64604056556556e-21	-3.7013174567019	-2.72847853857304	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFI44	ENSG00000137965	TRUE	FALSE
10643	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	IGF2BP3		insulin like growth factor 2 mRNA binding protein 3		-1.03812488835186	0.00377751637437701	-1.69035474511138	-0.122591693854207	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.17930624942262	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IGF2BP3	ENSG00000136231	TRUE	FALSE
10771	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	ZMYND11		zinc finger MYND-type containing 11		-0.945331370586767	8.81326838881054e-05	-0.82991743812293	-1.12255445475313	Tier_1_cross_site_FDR05_direction_concordant	1	0.950371480155762	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	ZMYND11	ENSG00000015171	TRUE	FALSE
10773	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	ZBTB6		zinc finger and BTB domain containing 6		-1.06946398732072	0.00125445628096295	-1.3040412016876	-0.77422253659777	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.21490735645698	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	ZBTB6	ENSG00000186130	TRUE	FALSE
10803	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	CCR9		C-C motif chemokine receptor 9		-1.57635336478884	7.59027748530108e-08	-1.47040318141387	-1.85304274312524	Tier_1_cross_site_FDR05_direction_concordant	1	1.79073191988031	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	CCR9	ENSG00000173585	TRUE	FALSE
10892	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MALT1		MALT1 paracaspase		-0.72918028641867	0.000218500821237892	-0.690137645353194	-0.840472459743486	Tier_1_cross_site_FDR05_direction_concordant	1	0.733067969249739	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MALT1	ENSG00000172175	TRUE	FALSE
10964	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	IFI44L		interferon induced protein 44 like		-3.68463042150361	6.45006752885454e-24	-4.44206628183126	-2.87831852164612	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFI44L	ENSG00000137959	TRUE	FALSE
10964	VIR_M2	Viral-higher cytokine and innate immune regulation programme	primary_discovery_module	higher_in_viral	-1	IFI44L		interferon induced protein 44 like		-3.68463042150361	6.45006752885454e-24	-4.44206628183126	-2.87831852164612	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	IFI44L	ENSG00000137959	TRUE	FALSE
11040	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	PIM2		Pim-2 proto-oncogene, serine/threonine kinase		-0.889663074102063	0.00140751476122606	-0.637100397310727	-1.39609345564996	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.894406383710185	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	PIM2	ENSG00000102096	TRUE	FALSE
11040	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	PIM2		Pim-2 proto-oncogene, serine/threonine kinase		-0.889663074102063	0.00140751476122606	-0.637100397310727	-1.39609345564996	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.894406383710185	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	PIM2	ENSG00000292210	FALSE	FALSE
11043	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	MID2		midline 2		-1.03969207950642	0.000639175536898632	-0.944141152583703	-1.29632912073444	Tier_1_cross_site_FDR05_direction_concordant	1	1.04523528071794	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score	MID2	ENSG00000080561	TRUE	FALSE
