final_module_id	ENTREZID	SYMBOL	final_module_label	module_direction	locked_entrez_present	any_ensembl_mapping	matched_by_ensembl	matched_by_symbol	matched_ensembl_ids	all_mapped_ensembl_ids
VIR_M1a	353376	TICAM2	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000243414	ENSG00000243414
VIR_M2	355	FAS	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000026103	ENSG00000026103
VIR_M2	3557	IL1RN	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000136689	ENSG00000136689
VIR_M2	3559	IL2RA	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000134460	ENSG00000134460
VIR_M2	3575	IL7R	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000168685	ENSG00000168685
VIR_M2	3600	IL15	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000164136	ENSG00000164136
VIR_M1a	3665	IRF7	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000185507	ENSG00000185507;ENSG00000276561
VIR_M1b	3665	IRF7	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000185507	ENSG00000185507;ENSG00000276561
VIR_M1a	3669	ISG20	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000172183	ENSG00000172183
VIR_M1b	3669	ISG20	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	TRUE	TRUE	TRUE	FALSE	ENSG00000172183	ENSG00000172183
