final_module_id	final_module_label	final_module_status	module_direction	module_direction_sign	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	primary_scoring_weight	optional_abs_logFC_weight	scoring_role	primary_scoring_rule	optional_sensitivity_rule
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	51191	HERC5		HECT and RLD domain containing E3 ubiquitin protein ligase 5		-2.52288887341034	8.52876177878631e-21	-2.94222963407278	-2.07335241209821	Tier_1_cross_site_FDR05_direction_concordant	1	2.53633985657669	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3429	IFI27		interferon alpha inducible protein 27		-4.76772856416775	2.51896266086772e-33	-5.43444150089658	-4.14967904484638	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3430	IFI35		interferon induced protein 35		-0.816885695457015	3.26309288923017e-06	-1.15401030634663	-0.40640782171863	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.821240986668701	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10561	IFI44		interferon induced protein 44		-3.22998246743249	7.64604056556556e-21	-3.7013174567019	-2.72847853857304	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10964	IFI44L		interferon induced protein 44 like		-3.68463042150361	6.45006752885454e-24	-4.44206628183126	-2.87831852164612	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	2537	IFI6		interferon alpha inducible protein 6		-2.39629405266998	8.22669999673773e-09	-2.64053912133538	-2.20184367840854	Tier_1_cross_site_FDR05_direction_concordant	1	2.40907008545676	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	64135	IFIH1		interferon induced with helicase C domain 1		-2.11835974978813	3.64736086490445e-15	-2.66635071862163	-1.48776941166876	Tier_1_cross_site_FDR05_direction_concordant	1	2.12965395368073	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3434	IFIT1		interferon induced protein with tetratricopeptide repeats 1		-3.77323797706401	5.90023842003119e-28	-4.31758142819668	-3.3023648897722	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	439996	IFIT1B		interferon induced protein with tetratricopeptide repeats 1B		-1.41980152856788	5.63495819552607e-06	-1.91693341088743	-0.727223990326018	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.42737131361137	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3433	IFIT2		interferon induced protein with tetratricopeptide repeats 2		-3.04824288937295	1.09996245032701e-24	-3.54692092343074	-2.60149064283263	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3437	IFIT3		interferon induced protein with tetratricopeptide repeats 3		-2.65550962111013	9.07234927849064e-22	-3.12184711368811	-2.21684779080811	Tier_1_cross_site_FDR05_direction_concordant	1	2.66966768236605	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	24138	IFIT5		interferon induced protein with tetratricopeptide repeats 5		-2.09147312813928	6.94407834320328e-16	-2.48962886231449	-1.6944507013634	Tier_1_cross_site_FDR05_direction_concordant	1	2.10262398386502	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10410	IFITM3		interferon induced transmembrane protein 3		-0.686449914635831	0.000557379185905744	-0.78907208345949	-0.610884140524759	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.690109777083053	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	246778	IL27		interleukin 27		-0.681009283066857	0.0224621754815853	-1.05820919941764	-0.132691369746826	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.684640138353114	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10527	IPO7		importin 7		-0.520477666952167	0.0215637021924385	-0.499800552374258	-0.619406324964489	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.523252635128697	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3665	IRF7		interferon regulatory factor 7		-1.45404953351808	1.6567768830903e-13	-1.8398718883554	-1.01060762204544	Tier_1_cross_site_FDR05_direction_concordant	1	1.46180191453039	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10379	IRF9		interferon regulatory factor 9		-0.316844333295578	0.0444683809982418	-0.535764730355725	-0.0327970863829255	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.318533614119014	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	9636	ISG15		ISG15 ubiquitin like modifier		-2.99808310131564	2.72578251294685e-21	-3.45093016124712	-2.58393731392258	Tier_1_cross_site_FDR05_direction_concordant	1	3	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	3669	ISG20		interferon stimulated exonuclease gene 20		-0.931639866308119	1.19680278685105e-08	-0.86646370769374	-1.10779714302187	Tier_1_cross_site_FDR05_direction_concordant	1	0.936606978530494	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10219	KLRG1		killer cell lectin like receptor G1		-0.79639163755252	0.00105036759700178	-0.641679197887427	-1.0907662675894	Tier_1_cross_site_FDR05_direction_concordant	1	0.800637663060596	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	23547	LILRA4		leukocyte immunoglobulin like receptor A4		-1.13597526528814	4.32087081304931e-06	-1.66849341816809	-0.404471908260489	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	1.14203180798085	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	4063	LY9		lymphocyte antigen 9		-0.678194654559611	1.68305458174898e-05	-0.567661919503285	-0.89439158761144	Tier_1_cross_site_FDR05_direction_concordant	1	0.681810503429585	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	10892	MALT1		MALT1 paracaspase		-0.72918028641867	0.000218500821237892	-0.690137645353194	-0.840472459743486	Tier_1_cross_site_FDR05_direction_concordant	1	0.733067969249739	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	9782	MATR3		matrin 3		-0.647173118817561	0.0016272885662744	-0.77665265904367	-0.564541945309384	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.650623573896529	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	255231	MCOLN2		mucolipin TRP cation channel 2		-0.631727152709154	0.00289946468598024	-0.104100985211885	-1.39584899769163	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.635095256388382	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	4210	MEFV		MEFV innate immunity regulator, pyrin		-0.872844370139584	0.000325664152624622	-1.29225877492516	-0.350277076181179	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	1	0.877498009486656	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	9258	MFHAS1		multifunctional ROCO family signaling regulator 1		-0.865553352875447	6.32727200539956e-05	-0.710315512082058	-1.17763331839123	Tier_1_cross_site_FDR05_direction_concordant	1	0.870168119582697	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	primary_discovery_submodule	higher_in_viral	-1	100507436	MICA		MHC class I polypeptide-related sequence A		-0.51204214798538	0.0188842412347439	-0.512438764496964	-0.544790938244608	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	1	0.514772141520015	module_gene	unweighted_mean_z_score	bounded_abs_logFC_weighted_mean_z_score
