requested_entrez	final_module_id	final_module_label	module_direction	requested_symbol	mapped	mapping_rule	rescued_by_entrez	accepted_probe_count	accepted_probe_ids	selected_probe_id	selected_platform_symbol	selected_platform_entrez	selected_probe_mean_expression	selected_probe_median_expression	selected_probe_expression_variance	selected_probe_expression_sd	median_tie_count	selection_rule	selection_reference_population	representative_probe_frozen
55471	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFAF7	TRUE	EXACT_ENTREZ_HISTORICAL_OR_ALTERNATE_SYMBOL	TRUE	3	ILMN_1722186;ILMN_1787370;ILMN_2394132	ILMN_1722186	C2orf56	55471	6.82009862360274	6.771230327	0.0873850655738514	0.295609650677801	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
284184	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFAF8	FALSE	UNMAPPED	FALSE	0	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4707	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFB1	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1724367	ILMN_1724367	NDUFB1	4707	6.02541134956164	6.0516192195	0.00972371219160057	0.0986088849526277	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
4709	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFB3	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_2119937;ILMN_2119945	ILMN_2119945	NDUFB3	4709	8.61699553258219	8.561571987	0.94488500021766	0.972051953456018	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
4718	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFC2	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1694274	ILMN_1694274	NDUFC2	4718	6.05436493410274	6.078506635	0.024005776208582	0.154937975359761	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
4724	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFS4	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_1812312	ILMN_1812312	NDUFS4	4724	7.61446392489726	7.5248613775	0.492906211666801	0.702072796558022	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
4731	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	NDUFV3	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1765500;ILMN_2387731	ILMN_1765500	NDUFV3	4731	6.19359641546575	6.2017775465	0.0140593654697435	0.118572195179745	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
9016	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	SLC25A14	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	2	ILMN_1743770;ILMN_2347044	ILMN_1743770	SLC25A14	9016	6.47093521815754	6.4696005795	0.0330002984946759	0.181659842823547	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
84233	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TMEM126A	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_2217809	ILMN_2217809	TMEM126A	84233	7.41665784206164	7.388407491	0.312699043206736	0.559194995691785	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
25880	BACT_M2	Bacterial-higher mitochondrial respiration and oxidative phosphorylation programme	higher_in_bacterial	TMEM186	TRUE	EXACT_ENTREZ_WITH_EXACT_SYMBOL_SUPPORT	FALSE	1	ILMN_2230998	ILMN_2230998	TMEM186	25880	6.16039197630822	6.171173766	0.00859308925276158	0.0926989172146125	1	Highest median expression across all 146 samples; lexicographically smallest probe ID for exact ties	All 146 GSE72810 samples	TRUE
