SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ACTN1	ACTN1	87	5080364	ILMN_2232177	3359.112
ACTN2	ACTN2	88	3400110	ILMN_1654422	-7.147789
ACTN3	ACTN3	89	830348	ILMN_1665691	-5.06103
ACTN4	ACTN4	81	270437	ILMN_1725534	522.6148
ACTR10	ACTR10	55860	2630064	ILMN_1798254	398.2136
ACTR1A	ACTR1A	10121	4280561	ILMN_1792314	607.9797
ACTR1B	ACTR1B	10120	2120088	ILMN_1695821	346.9874
ACTR2	ACTR2	10097	5570196	ILMN_2388605	3285.128
ACTR3	ACTR3	10096	6940176	ILMN_1657153	833.6081
ACTR3B	ACTR3B	57180	5490278	ILMN_1787513	10.34288
ACTR3BP2	ACTR3BP2	440888	5900102	ILMN_1769703	9.03175
ACTR3BP5	ACTR3BP5	399746	2900202	ILMN_1706287	-4.727389
ACTR3C	ACTR3C	653857	3830672	ILMN_3185198	14.50843
ACTR5	ACTR5	79913	2690670	ILMN_1652594	72.93516
ACTR6	ACTR6	64431	1580168	ILMN_1697585	148.1
ACTR8	ACTR8	93973	270278	ILMN_1689162	55.46614
ACTRT1	ACTRT1	139741	2710368	ILMN_1815392	147.6909
ACTRT2	ACTRT2	140625	2600754	ILMN_1776442	7.675503
ACTRT3	ACTRT3	84517	2480615	ILMN_1782810	-8.164885
ACVR1	ACVR1	90	6940360	ILMN_1760490	241.8103
ACVR1B	ACVR1B	91	4570240	ILMN_2243308	263.5583
ACVR1C	ACVR1C	130399	450064	ILMN_1689217	4.123827
ACVR2A	ACVR2A	92	4590349	ILMN_2152711	31.01916
ACVR2B	ACVR2B	93	610564	ILMN_1668983	-4.421825
ACVR2B-AS1	ACVR2B-AS1	100128640	3710360	ILMN_3179067	9.319962
ACVRL1	ACVRL1	94	5910451	ILMN_3250257	26.44968
ACY1	ACY1	95	1400341	ILMN_1683883	20.92445
ACY3	ACY3	91703	1170228	ILMN_1670193	-4.723135
ACYP1	ACYP1	97	5910148	ILMN_1694233	185.8585
ACYP2	ACYP2	98	5290672	ILMN_2158705	105.4737
ADA	ADA	100	7210192	ILMN_1803686	690.623
ADA2	ADA2	51816	6200064	ILMN_1751851	2273.459
ADAD1	ADAD1	132612	3140326	ILMN_1745580	-6.068325
ADAD2	ADAD2	161931	3400424	ILMN_1745108	-14.14493
ADAL	ADAL	161823	5910554	ILMN_1725043	41.99343
ADAM10	ADAM10	102	5290300	ILMN_1718946	99.80701
ADAM11	ADAM11	4185	1260661	ILMN_1711374	1.649326
ADAM12	ADAM12	8038	6180392	ILMN_1705689	31.99423
ADAM15	ADAM15	8751	3440452	ILMN_1756920	1041.528
ADAM17	ADAM17	6868	5260546	ILMN_2121068	769.5311
ADAM18	ADAM18	8749	6560010	ILMN_2201386	-9.032885
ADAM19	ADAM19	8728	6900209	ILMN_1713751	1806.228
ADAM2	ADAM2	2515	6110315	ILMN_1662675	17.87196
ADAM20	ADAM20	8748	2320270	ILMN_1737629	-17.4324
ADAM20P1	ADAM20P1	317760	7610523	ILMN_3204682	14.27822
