feature_id	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_P.Value	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_P.Value	United_States_adj.P.Val	pooled_direction	Sri_Lanka_direction	United_States_direction	pooled_Sri_Lanka_concordant	pooled_United_States_concordant	Sri_Lanka_United_States_concordant	all_three_concordant
NM_012318	-0.478972940636083	0.00726353791320005	0.0176226488810006	-0.318906024065161	0.184948785289	0.268534249818114	-0.815356551145846	0.00265024299219755	0.0123404446102349	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012319	-0.531492222998165	0.0299553029418802	0.0581570821798526	-0.587075917796719	0.0713122763541749	0.121211474996358	-0.500789266011863	0.182076043600238	0.306484201326585	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012322	0.625661637866305	0.0128078387749633	0.0284099343012968	1.22034871969877	0.000476621563539516	0.00195087078371404	-0.242068928784179	0.476022373844963	0.612886850867535	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_012324	-0.306855205758583	0.0986211481260143	0.157307731805085	0.204105828802857	0.390597336249213	0.490490777825444	-1.03635088977016	0.000769313012600353	0.00488893897012852	-1	1	-1	FALSE	TRUE	FALSE	FALSE
NM_012326	0.620928799785644	0.000484578842925065	0.00176812484576872	0.487495390327676	0.0546738041630159	0.0972070312561546	0.848795296880827	0.000456888470591799	0.00333023173148039	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012327	0.366346679648815	0.114119033208331	0.177304734705828	0.300478223982895	0.307284641937648	0.405609237285395	0.474262723670619	0.219675273764343	0.351406638938818	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012328	-0.40915069754707	0.102286817556491	0.162017017114456	-0.630889985803818	0.0548810002276176	0.097474700137844	-0.142863165574598	0.714530756589711	0.806420752192803	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012329	-1.6270731624322	2.59278462385852e-08	3.30252901094814e-07	-1.7879343387229	2.40020027719518e-06	2.4478126131375e-05	-1.59411340943871	0.000518456730078024	0.00364963609462528	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012330	-0.621055357413197	0.000368178798474156	0.00140465619814663	-0.656431456534035	0.00645877370138406	0.0164630404351236	-0.679542162773007	0.00856157568099061	0.0300022695013372	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012331	0.972100182304429	5.95129883866069e-08	6.84416477713485e-07	0.740694504295587	0.00167976077525866	0.00546586292582144	1.35803189060554	2.08840593193409e-06	6.23373585563432e-05	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012334	0.584549892144057	0.00523632472180925	0.0133487900715696	0.0553600957295209	0.847658872235565	0.886581757535644	1.37449975326092	3.05075263070047e-06	8.27842630412194e-05	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012336	1.32671222553266	1.86656197563538e-17	1.52364787554008e-15	1.48189178155932	3.68024234007234e-13	2.2508002005843e-11	1.15329340135422	6.72475041660729e-06	0.000148934976280985	1	1	1	TRUE	TRUE	TRUE	TRUE
NM_012337	1.02808256339012	0.0011861306348065	0.00378936526605353	1.93298131956173	1.07824823543044e-06	1.23151835867352e-05	-0.132559426926433	0.796272574626304	0.863784468894377	1	1	-1	TRUE	FALSE	FALSE	FALSE
NM_012339	-0.746613323740372	0.00253524771846082	0.00718571699567714	-0.947491598280596	0.00341453668370064	0.00977920269675244	-0.505942765373692	0.211040434907004	0.341474169095511	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
NM_012340	-0.499291363296354	0.00137049691383922	0.00428727792583616	-0.0719486295902627	0.727407891221619	0.789634175570817	-1.20917159149499	9.58984055976882e-07	3.58480787579097e-05	-1	-1	-1	TRUE	TRUE	TRUE	TRUE
