expression_sample_id	matched_geo_accessions	n_matched_geo_accessions	matched_metadata_fields	mapping_status
DU16-02S0004772	GSM6480087 | GSM6480087	1	title_contains	unique_metadata_match
DU14-03S0000010	GSM6479987 | GSM6479987	1	title_contains	unique_metadata_match
DU16-02S0004858	GSM6480155 | GSM6480155	1	title_contains	unique_metadata_match
DU14-03S0000006	GSM6479984 | GSM6479984	1	title_contains	unique_metadata_match
DU16-02S0004765	GSM6480080 | GSM6480080	1	title_contains	unique_metadata_match
DU09-03S0000017	GSM6479912 | GSM6479912	1	title_contains	unique_metadata_match
DU10-01S0000023	GSM6479968 | GSM6479968	1	title_contains	unique_metadata_match
DU16-02S0004777	GSM6480092 | GSM6480092	1	title_contains	unique_metadata_match
DU16-02S0004814	GSM6480122 | GSM6480122	1	title_contains	unique_metadata_match
DU14-03S0000004	GSM6479982 | GSM6479982	1	title_contains	unique_metadata_match
DU10-01S0000003	GSM6479949 | GSM6479949	1	title_contains	unique_metadata_match
DU16-02S0004776	GSM6480091 | GSM6480091	1	title_contains	unique_metadata_match
DU10-01S0000018	GSM6479964 | GSM6479964	1	title_contains	unique_metadata_match
DU16-02S0004832	GSM6480135 | GSM6480135	1	title_contains	unique_metadata_match
DU09-03S0000001	GSM6479898 | GSM6479898	1	title_contains	unique_metadata_match
DU16-02S0004824	GSM6480128 | GSM6480128	1	title_contains	unique_metadata_match
DU16-02S0004857	GSM6480154 | GSM6480154	1	title_contains	unique_metadata_match
DU16-02S0004794	GSM6480106 | GSM6480106	1	title_contains	unique_metadata_match
DU16-02S0004830	GSM6480133 | GSM6480133	1	title_contains	unique_metadata_match
DU16-02S0004775	GSM6480090 | GSM6480090	1	title_contains	unique_metadata_match
DU16-02S0004842	GSM6480143 | GSM6480143	1	title_contains	unique_metadata_match
DU16-02S0004780	GSM6480093 | GSM6480093	1	title_contains	unique_metadata_match
DU09-03S0000027	GSM6479922 | GSM6479922	1	title_contains	unique_metadata_match
DU14-03S0000003	GSM6479981 | GSM6479981	1	title_contains	unique_metadata_match
DU16-02S0004806	GSM6480116 | GSM6480116	1	title_contains	unique_metadata_match
DU09-03S0000010	GSM6479905 | GSM6479905	1	title_contains	unique_metadata_match
DU16-02S0004878	GSM6480170 | GSM6480170	1	title_contains	unique_metadata_match
DU16-02S0004850	GSM6480149 | GSM6480149	1	title_contains	unique_metadata_match
DU16-02S0004834	GSM6480136 | GSM6480136	1	title_contains	unique_metadata_match
DU16-02S0004853	GSM6480152 | GSM6480152	1	title_contains	unique_metadata_match
DU16-02S0004803	GSM6480113 | GSM6480113	1	title_contains	unique_metadata_match
DU09-03S0000002	GSM6479899 | GSM6479899	1	title_contains	unique_metadata_match
DU16-02S0004782	GSM6480095 | GSM6480095	1	title_contains	unique_metadata_match
DU14-03S0000001	GSM6479979 | GSM6479979	1	title_contains	unique_metadata_match
DU16-02S0004836	GSM6480138 | GSM6480138	1	title_contains	unique_metadata_match
DU16-02S0004796	GSM6480108 | GSM6480108	1	title_contains	unique_metadata_match
DU16-02S0004867	GSM6480162 | GSM6480162	1	title_contains	unique_metadata_match
DU10-01S0000026	GSM6479971 | GSM6479971	1	title_contains	unique_metadata_match
DU14-03S0000016	GSM6479993 | GSM6479993	1	title_contains	unique_metadata_match
DU16-02S0004852	GSM6480151 | GSM6480151	1	title_contains	unique_metadata_match
DU09-03S0000022	GSM6479917 | GSM6479917	1	title_contains	unique_metadata_match
DU16-02S0004838	GSM6480139 | GSM6480139	1	title_contains	unique_metadata_match
DU14-03S0000017	GSM6479994 | GSM6479994	1	title_contains	unique_metadata_match
DU16-02S0004861	GSM6480158 | GSM6480158	1	title_contains	unique_metadata_match
DU09-03S0000023	GSM6479918 | GSM6479918	1	title_contains	unique_metadata_match
DU14-03S0000020	GSM6479997 | GSM6479997	1	title_contains	unique_metadata_match
DU09-03S0000011	GSM6479906 | GSM6479906	1	title_contains	unique_metadata_match
DU10-01S0000006	GSM6479952 | GSM6479952	1	title_contains	unique_metadata_match
DU14-03S0035215	GSM6480028 | GSM6480028	1	title_contains	unique_metadata_match
DU16-02S0003184	GSM6480070 | GSM6480070	1	title_contains	unique_metadata_match
DU16-02S0003136	GSM6480050 | GSM6480050	1	title_contains	unique_metadata_match
DU09-03S0000123	GSM6479939 | GSM6479939	1	title_contains	unique_metadata_match
DU14-03S0035211	GSM6480024 | GSM6480024	1	title_contains	unique_metadata_match
DU09-03S96913	GSM6479946 | GSM6479946	1	title_contains	unique_metadata_match
