ENTREZID	SYMBOL	GENENAME	pooled_logFC	pooled_adj.P.Val	Sri_Lanka_logFC	United_States_logFC	stability_tier	recommended_use	direction_set	candidate_group_id	representative_GO	representative_TERM
201163	FLCN	folliculin	-1.52513667175802	6.95760214947081e-12	-1.86309326615378	-1.18331605528039	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
4799	NFX1	nuclear transcription factor, X-box binding 1	-0.995579692588805	2.05363448862837e-10	-1.10300378505819	-0.962274611640309	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
22797	TFEC	transcription factor EC	-2.06817454495968	9.02534457258479e-10	-2.72666511688632	-1.23457752467359	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
11278	KLF12	KLF transcription factor 12	-1.73838089397545	2.6934991840726e-09	-1.68192802908564	-1.91666755941757	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
167465	ZNF366	zinc finger protein 366	-1.17321078682755	3.09678672772558e-09	-1.73852216751233	-0.418705897251863	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
8462	KLF11	KLF transcription factor 11	-1.23241958075992	6.74113981754877e-09	-1.28405571630661	-1.218961816441	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
60468	BACH2	BTB domain and CNC homolog 2	-1.41847941285245	7.65964289274091e-09	-1.385761364929	-1.54396857556505	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
83666	PARP9	poly(ADP-ribose) polymerase family member 9	-1.08960729615372	1.84165892760323e-08	-1.41902296486122	-0.686154612609091	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
84678	KDM2B	lysine demethylase 2B	-0.855508732259263	2.3070950449502e-08	-0.755030690696055	-1.10398169419186	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
2624	GATA2	GATA binding protein 2	-1.73300865894036	2.32457553138893e-08	-1.79124097137581	-1.75929348130764	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
7050	TGIF1	TGFB induced factor homeobox 1	-0.872425336437106	2.49522196288769e-08	-0.970569038080823	-0.827301377866865	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
162972	ZNF550	zinc finger protein 550	-1.52317689763661	3.0838026352884e-08	-1.23613930491959	-1.99601914020737	Tier_1_cross_site_FDR05_direction_concordant	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
6772	STAT1	signal transducer and activator of transcription 1	-0.88477327699447	4.41851103085954e-08	-1.17811776878252	-0.564547327850528	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery	viral_higher_site_aware_eligible	Viral_higher_GO_group_01	GO:0000122	negative regulation of transcription by RNA polymerase II
