direction_set	GO_1	TERM_1	GO_2	TERM_2	jaccard_overlap	shared_gene_count	union_gene_count
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0060337	type I interferon-mediated signaling pathway	0.151515151515152	10	66
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0030509	BMP signaling pathway	0	0	84
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0019722	calcium-mediated signaling	0	0	88
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0030183	B cell differentiation	0	0	85
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0030501	positive regulation of bone mineralization	0.0128205128205128	1	78
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0070371	ERK1 and ERK2 cascade	0	0	79
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0842105263157895	8	95
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0006366	transcription by RNA polymerase II	0.018348623853211	2	109
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0032743	positive regulation of interleukin-2 production	0	0	78
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0045945	positive regulation of transcription by RNA polymerase III	0.0136986301369863	1	73
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0045943	positive regulation of transcription by RNA polymerase I	0.0133333333333333	1	75
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0007165	signal transduction	0.0133333333333333	3	225
viral_higher_site_aware_eligible	GO:0051607	defense response to virus	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.0119047619047619	1	84
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0001817	regulation of cytokine production	0.0166666666666667	1	60
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0045893	positive regulation of DNA-templated transcription	0.0320512820512821	5	156
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0045071	negative regulation of viral genome replication	0.333333333333333	13	39
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0060326	cell chemotaxis	0	0	55
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0006955	immune response	0.0505050505050505	5	99
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0048167	regulation of synaptic plasticity	0	0	48
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0006338	chromatin remodeling	0.0202020202020202	2	99
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0045892	negative regulation of DNA-templated transcription	0.0390625	5	128
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0032092	positive regulation of protein binding	0	0	49
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0042113	B cell activation	0	0	46
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0001756	somitogenesis	0	0	47
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0009617	response to bacterium	0.0344827586206897	2	58
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0030890	positive regulation of B cell proliferation	0	0	50
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0006468	protein phosphorylation	0.0283018867924528	3	106
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0060907	positive regulation of macrophage cytokine production	0	0	43
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0032728	positive regulation of interferon-beta production	0.2	8	40
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0045087	innate immune response	0.148514851485149	15	101
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0060337	type I interferon-mediated signaling pathway	0.1	4	40
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0030509	BMP signaling pathway	0	0	52
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0019722	calcium-mediated signaling	0	0	56
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0030183	B cell differentiation	0	0	53
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0030501	positive regulation of bone mineralization	0.0217391304347826	1	46
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0070371	ERK1 and ERK2 cascade	0	0	47
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0289855072463768	2	69
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0006366	transcription by RNA polymerase II	0.025974025974026	2	77
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0032743	positive regulation of interleukin-2 production	0	0	46
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0045945	positive regulation of transcription by RNA polymerase III	0	0	42
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0045943	positive regulation of transcription by RNA polymerase I	0	0	44
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0007165	signal transduction	0.0261780104712042	5	191
viral_higher_site_aware_eligible	GO:0009615	response to virus	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	0.0192307692307692	1	52
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0045893	positive regulation of DNA-templated transcription	0.0198675496688742	3	151
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0045071	negative regulation of viral genome replication	0	0	45
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0060326	cell chemotaxis	0	0	48
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0006955	immune response	0	0	97
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0048167	regulation of synaptic plasticity	0.025	1	40
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0006338	chromatin remodeling	0.0217391304347826	2	92
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0045892	negative regulation of DNA-templated transcription	0.0327868852459016	4	122
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0032092	positive regulation of protein binding	0	0	42
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0042113	B cell activation	0.0540540540540541	2	37
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0001756	somitogenesis	0	0	40
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0009617	response to bacterium	0	0	53
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0030890	positive regulation of B cell proliferation	0	0	43
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0006468	protein phosphorylation	0	0	102
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0060907	positive regulation of macrophage cytokine production	0	0	36
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0032728	positive regulation of interferon-beta production	0.025	1	40
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0045087	innate immune response	0.0186915887850467	2	107
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0060337	type I interferon-mediated signaling pathway	0	0	37
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0030509	BMP signaling pathway	0	0	45
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0019722	calcium-mediated signaling	0	0	49
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0030183	B cell differentiation	0.0222222222222222	1	45
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0030501	positive regulation of bone mineralization	0	0	40
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0070371	ERK1 and ERK2 cascade	0.0256410256410256	1	39
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.0158730158730159	1	63
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0006366	transcription by RNA polymerase II	0.0140845070422535	1	71
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0032743	positive regulation of interleukin-2 production	0	0	39
viral_higher_site_aware_eligible	GO:0001817	regulation of cytokine production	GO:0045945	positive regulation of transcription by RNA polymerase III	0	0	35
