GO	TERM	query_genes	universe_genes	term_genes_in_universe	overlap_genes	p_value	overlap_gene_ids	p_adj_BH	gene_ratio	background_ratio	enrichment_ratio	direction_set	overlap_symbols
GO:0051881	regulation of mitochondrial membrane potential	1479	9100	13	1	0.900483693781989	6648	1	0.000676132521974307	0.00142857142857143	0.473292765382015	bacterial_higher_site_aware_eligible	SOD2
GO:0051973	positive regulation of telomerase activity	1479	9100	13	1	0.900483693781989	9212	1	0.000676132521974307	0.00142857142857143	0.473292765382015	bacterial_higher_site_aware_eligible	AURKB
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	1479	9100	13	1	0.900483693781989	998	1	0.000676132521974307	0.00142857142857143	0.473292765382015	bacterial_higher_site_aware_eligible	CDC42
GO:0061436	establishment of skin barrier	1479	9100	13	1	0.900483693781989	388698	1	0.000676132521974307	0.00142857142857143	0.473292765382015	bacterial_higher_site_aware_eligible	FLG2
GO:0010629	negative regulation of gene expression	1479	9100	107	13	0.905381894716901	105375355;128239;23181;2852;3148;4037;4149;493;5091;51651;5468;5530;7428	1	0.00878972278566599	0.0117582417582418	0.74753717149122	bacterial_higher_site_aware_eligible	UPK3B;IQGAP3;DIP2A;GPER1;HMGB2;LRP3;MAX;ATP2B4;PC;PTRH2;PPARG;PPP3CA;VHL
GO:0000077	DNA damage checkpoint signaling	1479	9100	23	2	0.907853364461808	1432;51776	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	MAPK14;MAP3K20
GO:0001837	epithelial to mesenchymal transition	1479	9100	23	2	0.907853364461808	3082;359845	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	HGF;RFLNB
GO:0007095	mitotic G2 DNA damage checkpoint signaling	1479	9100	23	2	0.907853364461808	641;8870	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	BLM;IER3
GO:0009411	response to UV	1479	9100	23	2	0.907853364461808	1991;9768	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	ELANE;PCLAF
GO:0009611	response to wounding	1479	9100	23	2	0.907853364461808	3691;5460	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	ITGB4;POU5F1
GO:0016925	protein sumoylation	1479	9100	23	2	0.907853364461808	286053;9063	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	NSMCE2;PIAS2
GO:0030282	bone mineralization	1479	9100	23	2	0.907853364461808	249;632	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	ALPL;BGLAP
GO:0032733	positive regulation of interleukin-10 production	1479	9100	23	2	0.907853364461808	3082;353514	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	HGF;LILRA5
GO:0042098	T cell proliferation	1479	9100	23	2	0.907853364461808	10148;5294	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	EBI3;PIK3CG
GO:0048511	rhythmic process	1479	9100	23	2	0.907853364461808	5468;7874	1	0.00135226504394861	0.00252747252747253	0.535026604344886	bacterial_higher_site_aware_eligible	PPARG;USP7
GO:0007005	mitochondrion organization	1479	9100	40	4	0.908945514861151	10981;113115;23287;5864	1	0.00270453008789723	0.0043956043956044	0.615280594996619	bacterial_higher_site_aware_eligible	RAB32;MTFR2;AGTPBP1;RAB3A
GO:0019722	calcium-mediated signaling	1479	9100	40	4	0.908945514861151	201191;5443;55784;79772	1	0.00270453008789723	0.0043956043956044	0.615280594996619	bacterial_higher_site_aware_eligible	SAMD14;POMC;MCTP2;MCTP1
GO:0071346	cellular response to type II interferon	1479	9100	40	4	0.908945514861151	2934;9482;965;998	1	0.00270453008789723	0.0043956043956044	0.615280594996619	bacterial_higher_site_aware_eligible	GSN;STX8;CD58;CDC42
GO:0032760	positive regulation of tumor necrosis factor production	1479	9100	48	5	0.90920997589744	23643;353514;4317;5004;5005	1	0.00338066260987153	0.00527472527472528	0.640917286454812	bacterial_higher_site_aware_eligible	LY96;LILRA5;MMP8;ORM1;ORM2
GO:0007030	Golgi organization	1479	9100	56	6	0.911065164258575	137886;23423;3801;51501;51560;998	1	0.00405679513184584	0.00615384615384615	0.659229208924949	bacterial_higher_site_aware_eligible	UBXN2B;TMED3;KIFC3;HIKESHI;RAB6B;CDC42
GO:0031647	regulation of protein stability	1479	9100	32	3	0.911625449782315	23327;7018;7874	1	0.00202839756592292	0.00351648351648352	0.576825557809331	bacterial_higher_site_aware_eligible	NEDD4L;TF;USP7
GO:0003281	ventricular septum development	1479	9100	14	1	0.916680966467853	6910	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	TBX5
GO:0006284	base-excision repair	1479	9100	14	1	0.916680966467853	23583	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	SMUG1
GO:0006368	transcription elongation by RNA polymerase II	1479	9100	14	1	0.916680966467853	56943	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	ENY2
GO:0006509	membrane protein ectodomain proteolysis	1479	9100	14	1	0.916680966467853	55851	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	PSENEN
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	1479	9100	14	1	0.916680966467853	6752	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	SSTR2
GO:0007528	neuromuscular junction development	1479	9100	14	1	0.916680966467853	4734	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	NEDD4
GO:0007585	respiratory gaseous exchange by respiratory system	1479	9100	14	1	0.916680966467853	1602	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	DACH1
GO:0016064	immunoglobulin mediated immune response	1479	9100	14	1	0.916680966467853	3566	1	0.000676132521974307	0.00153846153846154	0.4394861392833	bacterial_higher_site_aware_eligible	IL4R
