base_sample_id	sample_group	projection_role	BACT_M1	BACT_M2	VIR_M1a	VIR_M1b	VIR_M2
DefiniteBacterial_27	DefiniteBacterial	primary_bacterial	0.893771427190524	1.17986247702036	-0.370856841293161	-0.346609763153622	-0.336432223862555
DefiniteBacterial_28	DefiniteBacterial	primary_bacterial	-0.0086835347914081	0.0193763243584659	-0.243611734673184	-0.631317449666147	-0.217413593226266
DefiniteBacterial_29	DefiniteBacterial	primary_bacterial	-0.613538150334998	-0.343782050883436	-0.567389399400491	-0.689170719059935	-0.352901779727865
DefiniteBacterial_30	DefiniteBacterial	primary_bacterial	-0.0593018271151929	0.466418736343866	-0.347307980936757	-0.281468379433539	-0.184383881424728
DefiniteBacterial_31	DefiniteBacterial	primary_bacterial	0.465506942434493	0.334817075098276	-0.247459781055089	-0.415877961005783	-0.106383163402218
DefiniteBacterial_32	DefiniteBacterial	primary_bacterial	-0.217271990768025	-0.0902034457727163	-0.402005107014328	-0.462261600456167	-0.35433608943768
DefiniteBacterial_33	DefiniteBacterial	primary_bacterial	-0.333877858376571	-0.00404719104704123	-0.481931410974375	-0.55368469333692	-0.318206053099842
DefiniteBacterial_34	DefiniteBacterial	primary_bacterial	0.758691124233769	0.200256154437731	-0.294040458783776	-0.246879554931058	0.0364494103653569
DefiniteBacterial_35	DefiniteBacterial	primary_bacterial	-0.463097958435921	0.213849857174585	-0.589274826795691	-0.625665750754163	-0.322152334665645
DefiniteBacterial_36	DefiniteBacterial	primary_bacterial	-0.142690148230977	0.379048310593663	0.081793327405728	0.113010349621572	0.11578561231569
DefiniteBacterial_37	DefiniteBacterial	primary_bacterial	-0.164476789239128	-0.195535602148534	-0.563328904306079	-0.524778524154692	-0.377864437361431
DefiniteBacterial_38	DefiniteBacterial	primary_bacterial	0.224088536018486	0.158015133406362	-0.166609953736863	-0.528911175660028	0.168447918878055
DefiniteBacterial_39	DefiniteBacterial	primary_bacterial	0.926109727586173	0.73752807408705	-0.301934503540833	-0.519808775156205	0.248873833876015
DefiniteBacterial_40	DefiniteBacterial	primary_bacterial	-0.729757148611183	-0.541460738716982	-0.449672770187006	-0.737315289879155	-0.176048844037696
DefiniteBacterial_41	DefiniteBacterial	primary_bacterial	-0.575490281479515	-0.787564030505285	-0.647449300549975	-0.704691436418426	-0.563476323780636
DefiniteBacterial_42	DefiniteBacterial	primary_bacterial	-1.26592791003758	-1.25751930143684	-1.09055320590021	-1.24824904615259	-1.048203945116
DefiniteBacterial_43	DefiniteBacterial	primary_bacterial	-0.772257496228514	-0.493731406926018	-0.512906308876606	-0.702588141097738	-0.499432372199601
DefiniteBacterial_44	DefiniteBacterial	primary_bacterial	-0.231930360256412	0.22244684653532	-0.486519105518331	-0.549706721432151	-0.302540210828589
DefiniteBacterial_45	DefiniteBacterial	primary_bacterial	-0.456230522237436	0.0228112075519098	-0.546637657954762	-0.560527865212253	-0.367555630292729
DefiniteBacterial_46	DefiniteBacterial	primary_bacterial	0.582351528532022	0.78372969312604	0.112484925377969	-0.266504154182442	0.297707778464488
DefiniteBacterial_47	DefiniteBacterial	primary_bacterial	-0.457255443105735	-0.426028110852735	-0.496229201351019	-0.383204886102609	-0.298240485233689
DefiniteBacterial_48	DefiniteBacterial	primary_bacterial	0.0927154166242319	-0.204766946628452	-0.410036910204569	-0.623626319022573	-0.332893322175255
DefiniteBacterial_49	DefiniteBacterial	primary_bacterial	0.0442169598757344	0.230066953486091	-0.469954759604627	-0.392718051210926	-0.221867377445766
