SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ACSM2B	ACSM2B	348158	4760202	ILMN_1746128	2.4494625
ACSM3	ACSM3	6296	6580735	ILMN_1771084	26.99221
ACSM4	ACSM4	341392	6980181	ILMN_1791923	-1.4796015
ACSM5	ACSM5	54988	5290612	ILMN_3219843	9.521563
ACSS1	ACSS1	84532	5220377	ILMN_1752269	352.53605
ACSS2	ACSS2	55902	4670544	ILMN_1714197	805.7391
ACSS3	ACSS3	79611	2810154	ILMN_1659885	13.98047
ACTA1	ACTA1	58	5080132	ILMN_2125869	-8.6642145
ACTA2	ACTA2	59	6480059	ILMN_1671703	307.4929
ACTB	ACTB	60	4610390	ILMN_2152131	36238.855
ACTBL2	ACTBL2	345651	6100600	ILMN_3246895	-3.4706855
ACTC1	ACTC1	70	4260201	ILMN_1658660	-1.8878805
ACTE1P	ACTE1P	399923	4850474	ILMN_1789531	-19.04187
ACTG1	ACTG1	71	3310424	ILMN_2053178	21925.605
ACTG1P17	ACTG1P17	283693	2480286	ILMN_3274790	1643.765
ACTG1P20	ACTG1P20	644961	7610600	ILMN_3231927	13.24778
ACTG1P25	ACTG1P25	148709	7050767	ILMN_1680580	12.46552
ACTG1P4	ACTG1P4	648740	2690747	ILMN_3236904	206.68185
ACTG2	ACTG2	72	4610431	ILMN_1795325	-8.947865
ACTL10	ACTL10	170487	7400170	ILMN_1733531	23.81788
ACTL6A	ACTL6A	86	5080603	ILMN_1749297	352.1583
ACTL6B	ACTL6B	51412	5390008	ILMN_1657855	15.234295
ACTL7A	ACTL7A	10881	6960669	ILMN_1717900	-14.539985
ACTL7B	ACTL7B	10880	7550092	ILMN_1796088	-4.0784755
ACTL8	ACTL8	81569	1450100	ILMN_1704078	3.331341
ACTL9	ACTL9	284382	4590184	ILMN_1656193	-14.54562
ACTMAP	ACTMAP	284325	650167	ILMN_1729546	72.834535
ACTN1	ACTN1	87	5080364	ILMN_2232177	4045.2325
ACTN2	ACTN2	88	3400110	ILMN_1654422	-7.0217645
ACTN3	ACTN3	89	830348	ILMN_1665691	-5.471879
ACTN4	ACTN4	81	270437	ILMN_1725534	589.29765
ACTR10	ACTR10	55860	2630064	ILMN_1798254	431.77695
ACTR1A	ACTR1A	10121	4280561	ILMN_1792314	663.6467
ACTR1B	ACTR1B	10120	2120088	ILMN_1695821	325.02855
ACTR2	ACTR2	10097	5570196	ILMN_2388605	3562.7885
ACTR3	ACTR3	10096	6940176	ILMN_1657153	886.50025
ACTR3B	ACTR3B	57180	5490278	ILMN_1787513	8.9870945
ACTR3BP2	ACTR3BP2	440888	5900102	ILMN_1769703	9.009753
ACTR3BP5	ACTR3BP5	399746	2900202	ILMN_1706287	-4.8831995
ACTR3C	ACTR3C	653857	3830672	ILMN_3185198	14.26821
ACTR5	ACTR5	79913	2690670	ILMN_1652594	67.262335
ACTR6	ACTR6	64431	1580168	ILMN_1697585	161.0152
ACTR8	ACTR8	93973	270278	ILMN_1689162	53.415945
ACTRT1	ACTRT1	139741	2710368	ILMN_1815392	138.05275
ACTRT2	ACTRT2	140625	2600754	ILMN_1776442	7.3865925
ACTRT3	ACTRT3	84517	2480615	ILMN_1782810	-8.2409955
ACVR1	ACVR1	90	6940360	ILMN_1760490	230.4282
ACVR1B	ACVR1B	91	4570240	ILMN_2243308	308.98115
ACVR1C	ACVR1C	130399	450064	ILMN_1689217	5.281286
ACVR2A	ACVR2A	92	4590349	ILMN_2152711	27.89134
ACVR2B	ACVR2B	93	610564	ILMN_1668983	-5.126739
ACVR2B-AS1	ACVR2B-AS1	100128640	3710360	ILMN_3179067	9.261276
ACVRL1	ACVRL1	94	5910451	ILMN_3250257	35.343055
ACY1	ACY1	95	1400341	ILMN_1683883	19.963595
ACY3	ACY3	91703	1170228	ILMN_1670193	-5.636962
ACYP1	ACYP1	97	5910148	ILMN_1694233	170.05495
ACYP2	ACYP2	98	5290672	ILMN_2158705	101.7447
ADA	ADA	100	7210192	ILMN_1803686	697.32735
ADA2	ADA2	51816	6200064	ILMN_1751851	2291.3595
ADAD1	ADAD1	132612	3140326	ILMN_1745580	-5.5309735
ADAD2	ADAD2	161931	3400424	ILMN_1745108	-13.675465
ADAL	ADAL	161823	5910554	ILMN_1725043	45.467335
ADAM10	ADAM10	102	5290300	ILMN_1718946	110.259
ADAM11	ADAM11	4185	1260661	ILMN_1711374	2.9643695
ADAM12	ADAM12	8038	6180392	ILMN_1705689	32.575475
ADAM15	ADAM15	8751	3440452	ILMN_1756920	1078.5525
ADAM17	ADAM17	6868	5260546	ILMN_2121068	833.36125
ADAM18	ADAM18	8749	6560010	ILMN_2201386	-9.2152535
ADAM19	ADAM19	8728	6900209	ILMN_1713751	1841.21
ADAM2	ADAM2	2515	6110315	ILMN_1662675	18.274635
ADAM20	ADAM20	8748	2320270	ILMN_1737629	-17.489605
ADAM20P1	ADAM20P1	317760	7610523	ILMN_3204682	14.111605
ADAM21	ADAM21	8747	2690368	ILMN_1812112	-8.5606615
ADAM21P1	ADAM21P1	145241	5310202	ILMN_3241313	-9.5134155
ADAM22	ADAM22	53616	2490255	ILMN_1706302	0.060590925
ADAM23	ADAM23	8745	110731	ILMN_2060086	-0.9073981
ADAM28	ADAM28	10863	6180491	ILMN_1664631	16.267145
ADAM29	ADAM29	11086	1770672	ILMN_2194158	4.754182
ADAM30	ADAM30	11085	830601	ILMN_2100871	-2.2265065
ADAM32	ADAM32	203102	5050328	ILMN_1806841	9.8085295
ADAM33	ADAM33	80332	1440224	ILMN_1651657	2.0382765
ADAM3A	ADAM3A	1587	1170390	ILMN_1669486	1.761016
ADAM5	ADAM5	255926	540195	ILMN_2302214	-12.07484
ADAM6	ADAM6	8755	6480634	ILMN_1783312	6.6103835
ADAM7	ADAM7	8756	1260424	ILMN_1750294	-1.7346445
ADAM8	ADAM8	101	780725	ILMN_1708348	1095.307
ADAM9	ADAM9	8754	2940730	ILMN_1727524	34.87982
ADAMDEC1	ADAMDEC1	27299	2470184	ILMN_2103107	6.4170725
ADAMTS1	ADAMTS1	9510	6900086	ILMN_1673566	2.7082305
ADAMTS10	ADAMTS10	81794	840370	ILMN_1751168	-1.532961
ADAMTS12	ADAMTS12	81792	4060682	ILMN_1660970	-11.01716
ADAMTS13	ADAMTS13	11093	4200735	ILMN_2413732	13.415525
ADAMTS14	ADAMTS14	140766	7610372	ILMN_2358134	-4.272961
ADAMTS15	ADAMTS15	170689	6520458	ILMN_1683781	12.01699
ADAMTS17	ADAMTS17	170691	4040494	ILMN_1682989	16.30696
ADAMTS18	ADAMTS18	170692	2030487	ILMN_1739872	11.055255
ADAMTS19	ADAMTS19	171019	70487	ILMN_1656171	-9.813965
ADAMTS2	ADAMTS2	9509	3400600	ILMN_1796628	4.724309
ADAMTS20	ADAMTS20	80070	4060747	ILMN_1651717	-6.0625035
ADAMTS3	ADAMTS3	9508	2120364	ILMN_1703803	-0.95300295
ADAMTS4	ADAMTS4	9507	1660497	ILMN_2092933	3.0356365
ADAMTS5	ADAMTS5	11096	6180332	ILMN_1681886	-5.5893615
ADAMTS6	ADAMTS6	11174	20100	ILMN_1767362	9.4263665
ADAMTS7	ADAMTS7	11173	240673	ILMN_3251322	1.2651515
ADAMTS8	ADAMTS8	11095	2480239	ILMN_1672403	9.4591105
ADAMTS9	ADAMTS9	56999	1570382	ILMN_1805543	-13.180115
ADAMTSL1	ADAMTSL1	92949	3140368	ILMN_1727084	4.2594445
ADAMTSL2	ADAMTSL2	9719	4810575	ILMN_1721495	-2.219085
ADAMTSL3	ADAMTSL3	57188	5130400	ILMN_1798690	17.46705
ADAMTSL4	ADAMTSL4	54507	10286	ILMN_1687035	45.05519
ADAMTSL5	ADAMTSL5	339366	3460356	ILMN_1793040	11.856325
