ID_REF	ARRAY_ID	SYMBOL	ENTREZID	ENSEMBL	SYMBOL_UPPER
ILMN_1651958	940735	MGP	4256	ENSG00000111341	MGP
ILMN_1651964	7610050	ABCC5	10057	ENSG00000114770	ABCC5
ILMN_1651966	3370019	FGFR3	2261	ENSG00000068078	FGFR3
ILMN_1651967	4640341	TP53I3	9540	ENSG00000115129	TP53I3
ILMN_1651980	1050577	GOLGA6L1	283767	ENSG00000273976	GOLGA6L1
ILMN_1651980	1050577	GOLGA6L1	283767	ENSG00000288214	GOLGA6L1
ILMN_1651980	1050577	GOLGA6L1	283767	ENSG00000275009	GOLGA6L1
ILMN_1651980	1050577	GOLGA6L1	283767	ENSG00000278247	GOLGA6L1
ILMN_1651984	7150288				
ILMN_1651987	1340400	CCDC167	154467	ENSG00000198937	CCDC167
ILMN_1652000	270414	FAM156A	29057	ENSG00000268350	FAM156A
ILMN_1652000	270414	FAM156B	727866	ENSG00000179304	FAM156B
ILMN_1652003	6370717	GNG10	2790	ENSG00000242616	GNG10
ILMN_1652003	6370717	DNAJC25-GNG10	552891	ENSG00000244115	DNAJC25-GNG10
ILMN_1652006	5820561	SMC1A	8243	ENSG00000072501	SMC1A
ILMN_1652008	2340528	KNSTRN	90417	ENSG00000128944	KNSTRN
ILMN_1652015	5390484				
ILMN_1652017	5390474	PPEF1	5475	ENSG00000086717	PPEF1
ILMN_1652022	2650139	DHX57	90957	ENSG00000163214	DHX57
ILMN_1652023	5550538	AGFG2	3268	ENSG00000106351	AGFG2
ILMN_1652024	4210064	CSNK1G3	1456	ENSG00000151292	CSNK1G3
ILMN_1652037	2360743	UPP2	151531	ENSG00000007001	UPP2
ILMN_1652056	1820674	TTN	7273	ENSG00000155657	TTN
ILMN_1652065	2480544	KCNMB1	3779	ENSG00000145936	KCNMB1
ILMN_1652066	580661	SNED1	25992	ENSG00000162804	SNED1
ILMN_1652072	1740551	NIM1K	167359	ENSG00000177453	NIM1K
ILMN_1652073	4610681	RPS23	6228	ENSG00000186468	RPS23
ILMN_1652079	990156				
ILMN_1652081	2030010				
ILMN_1652082	1410168	ELF4	2000	ENSG00000102034	ELF4
ILMN_1652085	2350563	MPHOSPH10	10199	ENSG00000124383	MPHOSPH10
ILMN_1652088	1690148	PAPOLB	56903	ENSG00000218823	PAPOLB
ILMN_1652098	6590521				
ILMN_1652104	4540100	KRAS	3845	ENSG00000133703	KRAS
ILMN_1652110	5720152				
ILMN_1652113	4880674				
ILMN_1652123	4390195	HMGN1	3150	ENSG00000205581	HMGN1
ILMN_1652128	2510592	LMBRD1	55788	ENSG00000168216	LMBRD1
ILMN_1652132	360414				
ILMN_1652137	4120400	NPY4R	5540	ENSG00000204174	NPY4R
