ID_REF	ARRAY_ID
ILMN_1702933	3610626
ILMN_1657993	360678
ILMN_1666019	1770551
ILMN_2080751	7330270
ILMN_1690352	4480546
ILMN_2275396	2100110
ILMN_2373444	3830148
ILMN_1747227	4060519
ILMN_1807372	7560440
ILMN_1703946	2060040
ILMN_1733259	870138
ILMN_1730710	6580482
ILMN_1793959	5550619
ILMN_1794512	5550369
ILMN_1795788	1990070
ILMN_1760335	3390735
ILMN_1788530	5570446
ILMN_1811480	730010
ILMN_1813598	780670
ILMN_1653821	1070315
ILMN_1780551	1110731
ILMN_1669227	2690500
ILMN_1709167	4590215
ILMN_1679754	2140022
ILMN_1716421	1340630
ILMN_1659371	5720523
ILMN_1677868	3390286
ILMN_1707445	870474
ILMN_1733963	3460672
ILMN_1804255	7050440
ILMN_1695590	7570326
ILMN_1694007	1430722
ILMN_3307926	3290113
ILMN_1673330	5700181
ILMN_1668900	2120528
ILMN_2389013	4280136
ILMN_1760143	4390121
ILMN_1790757	5870228
ILMN_2092664	5960097
ILMN_1778796	6020333
ILMN_1749804	1660446
ILMN_1720235	4830372
ILMN_2240009	4900703
ILMN_1736178	6580711
ILMN_1803376	4260671
ILMN_3240321	5090438
ILMN_1712944	1230458
ILMN_2333107	6180176
ILMN_1707958	6660491
ILMN_1660424	2190681
ILMN_1701998	2690187
ILMN_1651235	3130458
ILMN_1694140	20154
ILMN_1730995	4590133
ILMN_2404917	6620711
ILMN_1702696	5270195
ILMN_2084562	1110687
ILMN_1769563	1690086
ILMN_1673119	3990673
ILMN_2129015	6060142
ILMN_1725889	3890088
ILMN_1775235	650753
ILMN_1677951	2230273
ILMN_1708502	2360189
ILMN_1705447	60609
ILMN_1699172	730730
ILMN_2409898	3180403
ILMN_2295698	5670274
ILMN_2066124	1170538
ILMN_1777797	3120681
ILMN_2095653	2000497
ILMN_1707551	2070707
ILMN_1782204	2030161
ILMN_2402766	450097
ILMN_1767722	2070600
ILMN_2342841	5570543
ILMN_1802631	130064
ILMN_2318481	2340563
ILMN_2245223	7400333
ILMN_3238543	5290364
ILMN_1735591	3140608
ILMN_2362126	1510615
ILMN_2269136	3890431
ILMN_3239130	6960050
ILMN_2120103	4390523
ILMN_3242883	2140343
ILMN_2100055	990220
ILMN_1887648	5340681
ILMN_1688627	4890338
ILMN_1672767	2350059
ILMN_2196642	520379
ILMN_2308689	1850075
ILMN_2290776	6620403
ILMN_1777182	4480747
ILMN_1729777	1940465
ILMN_1690829	6620523
ILMN_2257015	7200369
ILMN_3181215	990754
ILMN_3260345	4280681
ILMN_1703228	4050368
ILMN_1652023	5550538
ILMN_2064917	70239
ILMN_1776153	5130102
ILMN_1772645	7560452
ILMN_1775082	1440653
ILMN_1680343	1440661
ILMN_2277492	2060255
ILMN_2371825	2940113
ILMN_1717468	3190468
ILMN_2274377	5270041
ILMN_1750235	6110050
ILMN_1664006	7000672
ILMN_1707169	4890255
ILMN_1779109	630437
ILMN_1697790	990369
ILMN_1679520	4610044
ILMN_1732176	3520671
ILMN_1681081	3850370
ILMN_2377430	5560102
ILMN_1661373	620064
ILMN_2288175	2120204
ILMN_1654010	3850435
ILMN_1732672	1440364
ILMN_1730504	3440025
ILMN_1662049	830719
ILMN_1740752	3870022
ILMN_1794875	2060477
ILMN_1698209	7560154
ILMN_3307841	1340021
ILMN_1814151	3140463
ILMN_2050246	4590594
ILMN_1728787	5290273
ILMN_2234605	4590131
ILMN_1770454	6370500
ILMN_1770336	2690392
ILMN_1714253	7160121
ILMN_1813530	2850301
ILMN_2223922	2340347
ILMN_1718071	4760427
ILMN_1814327	160682
ILMN_2341343	940040
ILMN_1775634	5550437
ILMN_1802458	4610220
ILMN_2307656	4900685
ILMN_1709796	270709
ILMN_1783963	6350753
ILMN_2134801	2360762
ILMN_1757807	2600768
ILMN_1673529	870139
ILMN_1686370	5690082
ILMN_1809139	1230196
ILMN_1747504	6040747
ILMN_1666679	6220427
ILMN_1657862	3710537
ILMN_1770412	1170440
ILMN_1712786	870039
ILMN_1680111	4250376
ILMN_1791006	5860253
ILMN_1714567	450553
ILMN_1792495	2810482
ILMN_1752159	3710400
ILMN_3243156	5260594
ILMN_1812640	4890672
ILMN_2162799	6060367
ILMN_1782679	5560433
ILMN_1703617	4880561
ILMN_1798308	1170220
ILMN_1730625	2320377
ILMN_1696512	2350274
ILMN_2164164	6110358
ILMN_3240117	4640445
ILMN_1703538	1940047
ILMN_1792473	3800047
ILMN_1771827	6520154
ILMN_3246401	1410021
ILMN_1770725	4010647
ILMN_2313821	1500689
ILMN_1717357	1940577
ILMN_1668408	3290341
ILMN_1667183	5420414
ILMN_1712639	270612
ILMN_1704173	4260551
ILMN_1797974	3940056
ILMN_1688625	580255
ILMN_1776916	610397
ILMN_2113340	4220376
ILMN_1669557	6620386
ILMN_3307874	7000082
ILMN_2214232	130753
ILMN_1681301	1260270
ILMN_1673252	6960056
ILMN_2103841	610689
ILMN_2368268	240142
ILMN_2415292	3610138
ILMN_1670282	2000093
ILMN_2261519	5820386
ILMN_1791236	5820689
ILMN_1723521	1300647
ILMN_2242299	5360195
ILMN_2312764	6480484
ILMN_1779965	5130162
ILMN_1670542	1990491
ILMN_1655645	3140441
ILMN_1716053	5720669
ILMN_3236458	5090554
ILMN_1778173	670463
ILMN_2338038	160148
ILMN_1686522	1470681
ILMN_1764090	4290192
ILMN_1798249	4610554
ILMN_1656593	2680220
ILMN_2283473	5960209
ILMN_2387712	6270148
ILMN_1684305	2760470
ILMN_1712530	4810494
ILMN_1662598	7040288
ILMN_1718808	460020
ILMN_1783818	1070484
ILMN_2293758	1450333
ILMN_1735539	4570717
ILMN_2280189	5720731
ILMN_1693220	6420398
ILMN_1684836	670041
ILMN_1715532	3290564
ILMN_1686846	6900706
ILMN_2308950	6940475
ILMN_1709101	650050
ILMN_1752247	2060341
ILMN_2396956	3940440
ILMN_1679987	270192
ILMN_1673542	270497
ILMN_1802537	3850102
ILMN_1675507	2970162
ILMN_1691959	3610068
ILMN_1737754	6840608
ILMN_1808905	4860088
ILMN_2268556	510008
ILMN_2253207	5560450
ILMN_1734794	7100575
ILMN_1690818	3800189
ILMN_1770758	1510224
ILMN_2293529	2370220
ILMN_1703049	4780619
ILMN_1733690	5340504
ILMN_2410406	6380689
ILMN_1741572	6550053
ILMN_1768962	5340593
ILMN_2400663	3170630
ILMN_2396691	3290592
ILMN_1802799	520040
ILMN_1679383	1260544
ILMN_1658337	5820133
ILMN_2148847	5690202
ILMN_1770673	2850010
ILMN_2205785	3130605
ILMN_1728047	1500504
ILMN_1774938	5550543
ILMN_2380771	6130424
ILMN_1701731	4260139
ILMN_1672148	5310646
ILMN_2278335	2760274
ILMN_1662507	1010358
ILMN_1668617	1510528
ILMN_1719154	3610767
ILMN_1773417	4900113
ILMN_2412336	5340129
ILMN_3237488	6510692
ILMN_1730191	7200563
ILMN_1713124	7210632
ILMN_1668880	2650736
ILMN_1687757	3120598
ILMN_3307911	1400066
ILMN_1685803	6940278
ILMN_1692661	1770341
ILMN_2157277	5860347
ILMN_1694985	5720372
ILMN_1677043	6180681
ILMN_2145396	70484
ILMN_1718483	270300
ILMN_3243152	840039
ILMN_2388507	2470619
ILMN_2410909	6200431
ILMN_1748661	7210424
ILMN_1726906	3870092
ILMN_1743347	5570041
ILMN_1733598	2570044
ILMN_1757130	5220307
ILMN_2325612	5490246
ILMN_2325610	5870561
ILMN_2377240	4480338
