sample_id_for_scoring	BACT_M1	BACT_M2	VIR_M1a	VIR_M1b	VIR_M2
434619	0.154592849825664	0.139918420793032	0.214780066336355	0.112978619472854	0.320068462519599
434735	-0.304780055650703	-1.11999523453462	0.390166024670968	0.951048214216797	0.130877625602271
434740	0.372524477877198	0.188824355554245	0.203675709548162	0.172800801888295	0.212649189270188
434741	-0.519661164383111	-0.764135549783457	-1.7784303499985	-1.14829624930957	-2.0841915773557
434756	0.318208518530431	0.165727296426266	-0.0209723450524302	-0.311956101347872	0.173351710530275
434757	0.581116534782902	0.171245909662971	0.305535082653749	0.614186124589509	0.336038491150861
434766	0.324586485670023	0.309623261492381	0.216116278229801	0.209311332603039	0.263332359962998
434768	0.0901382917172801	0.0639026425707789	-0.120547396366981	-0.420536303695105	0.0194852723187677
434777	1.01136494564452	0.295612121169537	0.0915556394863995	-0.0862369249547169	0.231771803069811
434794	1.43715312479794	0.443555100675479	0.0865601753761605	-0.0340788372594761	0.326537865528525
434809	-0.564018731522424	-0.26180416255513	0.228972107395428	0.155746789819281	0.185783460548286
434859	-0.0494490407536167	0.117581443911188	0.265778949569112	0.46103151628062	0.0392727964611074
94189	0.740433069079343	0.752946295591235	-0.0883854712346181	-0.151570519486534	-0.113939071185506
94478	-1.7762477022545	-2.04733587076321	-3.22995610412357	-2.26549053813896	-4.05705940433221
94486	0.667430584818612	0.558586001063234	-0.339956792356892	-0.238171207666427	-0.28801116570794
95967	-1.3656095166866	-0.708957282222375	-1.15723531273679	-1.28571703508714	-1.20874653614531
95968	-0.732671941351957	-0.170059150303325	-0.338709645344283	-0.476477554459127	-0.11789587138955
95969	-0.717514095017944	-0.33097819451911	-0.441960469752661	-0.755076494910686	-0.108022186063355
95970	-0.131955055187526	-0.192859283179787	0.00408662319270772	-0.160168398232546	0.156718434478236
95971	-0.269782807197466	0.129428859574862	0.0433337348420403	-0.00166072162910822	0.27311952957366
95981	0.300312349875313	-0.0609938772433862	-0.152576916406012	-0.488768533809215	0.208726878965285
95982	-0.756542377643413	-0.0164025426544664	-0.403778884826122	-0.283733475950709	-0.25327610859765
95986	-0.332995297481834	0.210154443097595	-0.389987169261441	-0.416378707043391	-0.0967728770617227
95994	-0.47556869756415	0.154632984022845	-0.129147754764022	-0.0225003469459018	-0.215635848227191
95996	0.00614646698916708	-0.00812296166940432	-0.574455762675839	-0.747526880806032	-0.186737720752045
95997	-0.35730560212952	-0.14821795327706	-0.415394425661381	-0.497545442987958	-0.246856352172285
96004	-0.839360194071661	-0.392112045723954	-0.540945651884336	-0.682244346055456	-0.208297952830348
97389	-0.280139750090048	-0.188420267748823	-0.580788304237301	-0.490180252188661	-0.320084707596856
97392	-0.219947802298442	-0.345263314772833	-0.802975434745431	-1.18409048697669	-0.771704318758999
97394	-0.736550159735247	-0.551046924293558	-0.353600672816941	-0.212532702311261	-0.442239592714955
97395	-0.173998444697843	-0.0477839262957628	-0.767145717468423	-0.863021727222487	-0.559579855843433
97403	-0.489950447505937	0.100309580432766	-0.539893114965371	-0.72959958511923	-0.294329647134635
97406	-0.0998551810872382	-0.266598666634359	0.282658534445985	0.369894495397109	0.173976927209344
97407	-0.376819982257706	0.0592434368674915	-0.262928122213951	-0.431663942074632	0.0486433008284222
DU09-02S0000141	0.0992184455958345	-0.187951171510214	-0.233024223727481	-0.426965128402089	0.164258124632682
DU09-02S0000142	0.264869696099651	-0.282942685368312	0.579461114537445	0.876225935945149	0.293501530816509
DU09-02S0000143	0.532824848028183	0.11342873159622	0.839243893809763	1.34241223714391	0.631443998607888
DU09-02S0000144	-0.325741650229645	-0.766535272833833	0.468567360377356	0.95350961761929	0.0445475225099264
DU09-02S0000145	0.623880537836213	0.240050624644165	0.283050843084956	0.248908796591126	0.417573925108244
DU09-02S0000146	1.31487024750823	0.510473789662573	0.41400850510949	0.661753377216285	0.334539766407821
DU09-03S0000604	0.171228917070616	0.241917879411117	0.877695046870204	1.39972460146109	0.532634664986262
DU09-03S0000611	0.475057320990389	0.349583108543851	0.863861120913732	1.29799535795436	0.609654697472423
DU09-03S0000632	-0.259632883003727	-0.245481943719141	0.321556742378067	0.362063732002446	0.337245653728628
DU09-03S0000774	1.07612430414236	0.219237453796955	0.237345265504856	0.192838310881049	0.353549575883121
DU09-03S0000775	1.1230439564361	0.3414313438187	0.928016257290033	1.31029456502837	0.664922169937921
DU09-03S19475	0.408386137209631	-0.229627691272123	-0.535490420863996	-0.840373266335658	-0.0245407866410405
DU09-03S19478	0.63870024733406	0.226142921542104	0.393239215665131	0.412682391761755	0.457836052908403
DU09-03S19498	0.361087905998728	0.405180399328996	-0.87845550015718	-0.917243068544551	-0.737374404277333
DU10-01S0000032	1.63911949662354	0.831819488098636	0.293217712513619	0.464779024939269	-0.0760341343064552
DU10-01S0000709	0.574090861234537	0.434131550835177	-0.263710848724652	-0.340237738896409	-0.0955134645817605
DU14-02S0000001	0.691514874720282	0.42884220937522	-0.359999430916391	-0.694736503010616	-0.292312283547895
DU14-02S0000002	0.393938217190808	0.39946133354127	-0.264320473142555	-0.609598128777935	-0.207449852036547
DU14-02S0000003	0.280058556008589	0.15091992916402	-0.450634516398879	-0.99987716709749	-0.202211925404953
DU14-02S0000004	0.421961532941169	0.33232678444637	-0.408623607911756	-0.824728206627183	-0.069015925207232
DU14-02S0000005	0.439315360211875	0.276065090832245	-0.0119020882612396	-0.134108443269857	0.0125016745641906
DU14-02S0000006	0.588964521881326	0.412589333016107	-0.337748800855178	-0.559581405031374	-0.251996801358936
DU14-02S0000007	0.774944037432948	0.235676109861426	0.0735930569640988	-0.178775728662116	0.299420068360364
DU14-02S0000008	0.627513465124713	0.320020248404374	0.0281788351252787	-0.0834171295977894	0.0456795457957748
DU14-02S0000009	0.334543061195231	0.152317395903079	-0.192556240398968	-0.442822164627268	0.0588824992761473
DU14-03S0000878	1.0182781482064	0.361587587940365	0.0209211099069459	-0.140278994413066	0.202930519267726
DU14-03S0000889	0.75136456490363	0.276232131289242	0.747375183109294	1.23756588674886	0.561617756491541
