source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
site_aware_eligible	101928062	PRANCR	ENSG00000257815	progenitor renewal associated non-coding RNA	NR_120459	1	8308	0.616593018091876	0.00769303308656179	0.0185186529487421	0.848364769027034	0.0146628969169467	0.310350698217225	0.529612442464816	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	4121	MAN1A1	ENSG00000111885	mannosidase alpha class 1A member 1	NM_005907	1	8309	0.607680560507547	0.00770086212590268	0.0185352679812165	0.262847608778647	0.487277906955258	1.1935050510106	0.00364150823748719	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	100528031	FKBP1A-SDCBP2		FKBP1A-SDCBP2 readthrough (NMD candidate)	NR_037661	1	8310	0.448916972380856	0.00770231948630442	0.0185365448142722	0.465258857125197	0.078549699640246	0.394594384476405	0.239898864883102	TRUE	Tier_3_pooled_FDR05_all_direction_concordant_site_nominal_or_weaker	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	25998	IBTK	ENSG00000005700	inhibitor of Bruton tyrosine kinase	NM_001300906	4	8312	-0.713528146961563	0.00771863718873204	0.0185713456613874	-0.878396172820636	0.0221533762396748	-0.564846789259799	0.333686550447295	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	26063	DECR2	ENSG00000242612	2,4-dienoyl-CoA reductase 2	NM_020664	2	8313	0.613539679568577	0.00772000682202069	0.018572406644243	0.916963444436927	0.00461590029370358	0.316439240606116	0.559457045296862	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	10165	SLC25A13	ENSG00000004864	solute carrier family 25 member 13	NM_001160210	1	8314	-0.521653580955834	0.00772455944548291	0.0185811239295421	-0.921790475636713	0.00190925331483926	-0.0228396186306098	0.961532287371918	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	7372	UMPS	ENSG00000114491	uridine monophosphate synthetase	NM_000373	2	8317	-0.417988619942023	0.00773747764895884	0.018605484610019	-0.0661085585103071	0.804351630892297	-0.984115662233986	0.00139518343544653	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	28962	OSTM1	ENSG00000081087	osteoclastogenesis associated transmembrane protein 1	NM_014028	1	8322	-0.613221024616074	0.0077615114306434	0.0186520628576589	-1.06290425596182	0.00203661139117832	-0.0333858290963065	0.951693347842822	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	101928846	HIPK1-AS1	ENSG00000235527	HIPK1 antisense RNA 1	NR_110725	1	8323	0.41671116529357	0.00776711683898751	0.0186632908401912	0.597419206489107	0.0112311655240132	0.226997651583887	0.520086103746522	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
site_aware_eligible	9203	ZMYM3	ENSG00000147130	zinc finger MYM-type containing 3	NM_001171163	1	8325	-0.556620832496704	0.00779015676764459	0.018714155579114	-0.222685095068701	0.489200955343113	-1.15269487538843	0.00814906185824653	TRUE	Tier_2_pooled_FDR05_all_direction_concordant_one_site_FDR05	eligible_for_site_aware_pathway_or_module_discovery
