source_feature_set	ENTREZID	SYMBOL	ENSEMBL	GENENAME	selected_refseq_feature_id	n_refseq_features_for_entrez_in_input	pooled_rank	pooled_logFC	pooled_P.Value	pooled_adj.P.Val	Sri_Lanka_logFC	Sri_Lanka_adj.P.Val	United_States_logFC	United_States_adj.P.Val	all_three_concordant	stability_tier	recommended_use
all_modelled_features	595	CCND1	ENSG00000110092	cyclin D1	NM_053056	1	14124	-0.368801589033141	0.189925625814621	0.268926833097324	-0.417431143596046	0.353891518710865	-0.27856149727012	0.663840539095305	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	723778	MIR650	ENSG00000284049	microRNA 650	NR_030755	1	14125	-0.464801527334524	0.189981098678201	0.268986335749759	0.199997546610856	0.735057262654944	-1.40689331739691	0.0394715890080735	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	55663	ZNF446	ENSG00000083838	zinc finger protein 446	NM_017908	1	14127	0.219344643800601	0.190129357192119	0.269158137926324	0.581863121031678	0.0220877276763143	-0.293649175263728	0.399206198041366	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	102725509	LINC01232		long intergenic non-protein coding RNA 1232	NR_110731	1	14129	0.303731257610786	0.190229546984258	0.26926185222862	0.55724992567054	0.111975780018689	-0.0763501226766574	0.892056834861253	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	653583	PHLDB3	ENSG00000176531	pleckstrin homology like domain family B member 3	NM_198850	1	14132	-0.237653995426634	0.190430563201696	0.269489161723091	0.0865965125114549	0.786034101562592	-0.775007664687789	0.0206883575428614	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	5199	CFP	ENSG00000126759	complement factor properdin	NM_002621	2	14133	0.19225286984453	0.190654380673825	0.269786808115462	-0.0903785470833325	0.735284756508934	0.603019735233278	0.0156664901491121	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	440145	MZT1	ENSG00000204899	mitotic spindle organizing protein 1	NM_001071775	1	14134	-0.421265494129617	0.190672081815577	0.269792766678203	-0.527381651989539	0.281144055933796	-0.273326283863178	0.723320508693968	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	284194	LGALS9B	ENSG00000170298	galectin 9B	NM_001367292	2	14137	-0.239946990283558	0.191143441225495	0.270402325887293	-0.210843775618807	0.478304075723092	-0.330661859754716	0.411384101216213	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	441081	LOC441081		POM121 membrane glycoprotein (rat) pseudogene	NR_073404	1	14140	0.259595779889857	0.191479509474137	0.270820276518619	-0.134373358142251	0.694873873872414	0.832462227588276	0.0213146464431041	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	84719	LINC00260		long intergenic non-protein coding RNA 260	NR_046213	1	14141	0.234605098568836	0.191524051305372	0.270864118666016	0.362594363848547	0.214022295451326	0.0922533369293129	0.819279326391047	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	65124	SOWAHC	ENSG00000198142	sosondowah ankyrin repeat domain family member C	NM_023016	1	14142	0.217671346269382	0.191554772751296	0.270888410426613	0.447058269651018	0.0850920693940658	-0.0671766592649912	0.864490063908397	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	22881	ANKRD6	ENSG00000135299	ankyrin repeat domain 6	NM_001242811	5	14147	-0.249653437727487	0.191840213105607	0.271196184484275	-0.284401918050404	0.358522392104303	-0.20452233417247	0.642077388888326	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	11007	CCDC85B	ENSG00000175602	coiled-coil domain containing 85B	NM_006848	1	14148	-0.201587360378631	0.19199737134523	0.271399168047304	-0.0506169530610645	0.855785400045641	-0.437387200785367	0.144519404140597	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	54841	BIVM	ENSG00000134897	basic, immunoglobulin-like variable motif containing	NM_017693	2	14149	-0.224849839327396	0.19201155628697	0.271400036340597	0.0537383042453285	0.859621785592968	-0.594754934982321	0.0815909151533672	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	5383	PMS2P5		PMS1 homolog 2, mismatch repair system component pseudogene 5	NR_027775	3	14150	-0.208413569565325	0.192027849102756	0.271403883689471	0.0693836422406979	0.800304148153546	-0.690308651224253	0.027966931336102	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	83596	BCL2L12	ENSG00000126453	BCL2 like 12	NM_001282519	9	14152	0.198734180228118	0.19210694915359	0.271477308940267	0.461889341537923	0.0508249028916123	-0.204799646364539	0.53781295919351	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	57082	KNL1	ENSG00000137812	kinetochore scaffold 1	NM_170589	2	14154	0.390797453461046	0.19260943953573	0.272148945971108	0.942685139907089	0.0393101815604482	-0.276275791098406	0.675047719611052	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	200879	LIPH	ENSG00000163898	lipase H	NM_139248	1	14156	0.23635683961632	0.192791681045985	0.272342856392239	0.390967788627017	0.163413658405008	-0.0235290856895893	0.960285286009507	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100507458	ZNF213-AS1		ZNF213 antisense RNA 1 (head to head)	NR_110900	1	14159	0.311505969928465	0.192814765921182	0.272342856392239	0.732045219918746	0.047530780190932	-0.347425894954709	0.469599190572028	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	92181	UBTD2	ENSG00000168246	ubiquitin domain containing 2	NM_152277	1	14160	-0.310014555339192	0.192857655822577	0.272384199067494	-0.406378827034649	0.271819232407696	-0.174724541637384	0.757131529216598	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	2882	GPX7	ENSG00000116157	glutathione peroxidase 7	NM_015696	1	14162	0.279113354375598	0.193175612925361	0.272794738235722	0.947180527662562	0.00385479634460344	-0.717402682989127	0.0564075595570098	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100381270	ZBED6	ENSG00000257315	zinc finger BED-type containing 6	NM_001174108	1	14164	-0.4557847805195	0.193473982303395	0.273177504383337	-1.14903002734257	0.0235013151500178	0.440637310248294	0.580037302882554	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100287015	MCPH1-DT	ENSG00000246089	MCPH1 divergent transcript	NR_040040	2	14165	0.275131186304582	0.193578203159482	0.273305364277195	0.415940889569862	0.224246870101298	0.0441233422716995	0.926852377520561	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	6004	RGS16	ENSG00000143333	regulator of G protein signaling 16	NM_002928	1	14166	-0.400413479856839	0.193649402435422	0.273386587555133	-0.101508809728813	0.846645973507047	-0.757790359148576	0.232736980561909	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	23405	DICER1	ENSG00000100697	dicer 1, ribonuclease III	NM_030621	5	14167	0.248928943969057	0.193732494837214	0.273483232351145	-0.171071783507273	0.61024173995738	0.821879470735105	0.0117324657425643	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	100287314	LINC00941		long intergenic non-protein coding RNA 941	NR_040245	1	14169	-0.240981155436415	0.193914447895113	0.273702804958315	-0.189884572173242	0.527091532265601	-0.271647630119998	0.540026412843396	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	79624	ARMT1	ENSG00000146476	acidic residue methyltransferase 1	NM_024573	2	14170	-0.337536657421242	0.193981422508172	0.273778014731188	-0.77881242088466	0.0380259960171454	0.244497113858662	0.690610233039124	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	4052	LTBP1	ENSG00000049323	latent transforming growth factor beta binding protein 1	NM_206943	1	14171	-0.308874148160521	0.194098429321908	0.273923822454931	-0.814426093724886	0.024628102472784	0.417565291679155	0.39544851745694	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	84695	LOXL3	ENSG00000115318	lysyl oxidase like 3	NM_001289164	1	14173	-0.187805857957051	0.194253138625403	0.274103472755905	-0.464772804126439	0.0417800002920017	0.196523722897856	0.517060234486691	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	25994	HIGD1A	ENSG00000181061	HIG1 hypoxia inducible domain family member 1A	NM_014056	3	14175	0.274340777739223	0.194465996532299	0.274365112144582	0.0609987613629958	0.871762215690998	0.588282674918425	0.149409336555094	TRUE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
all_modelled_features	7334	UBE2N	ENSG00000177889	ubiquitin conjugating enzyme E2 N	NM_003348	1	14176	0.314788481369556	0.194479837485466	0.274365284274255	0.716674447523729	0.0615813540254766	-0.325781324453161	0.48081199524985	FALSE	Lower_or_unstable	not_prioritized_for_stable_module_discovery
