feature_id	N
NR_037962	2
NR_038262	2
NR_038448	2
NR_038449	2
NR_040016	2
NR_040040	2
NR_045207	2
NR_045286	2
NR_045725	2
NR_045828	7
NR_046106	2
NR_046439	2
NR_046440	2
NR_046441	2
NR_046442	2
NR_046579	2
NR_047549	2
NR_051985	2
NR_051986	3
NR_052021	2
NR_073407	2
NR_073446	2
NR_102327	7
NR_102409	2
NR_103503	4
NR_104009	2
NR_104010	2
NR_104026	2
NR_104177	2
NR_104247	2
NR_104248	2
NR_108064	4
NR_108065	4
NR_110142	10
NR_110285	2
NR_110561	4
NR_110586	2
NR_110592	4
NR_110740	2
NR_111932	2
NR_111941	2
NR_111964	4
NR_111969	2
NR_120377	2
NR_125434	2
NR_126398	2
NR_126399	2
NR_126418	2
NR_130156	2
NR_130726	6
NR_130755	2
NR_130756	2
NR_130757	2
NR_130944	2
NR_130945	2
NR_130946	2
NR_130947	2
NR_131223	2
NR_132323	7
NR_133013	2
NR_134611	2
NR_134848	2
NR_134949	7
NR_134950	7
NR_135056	2
NR_135057	2
NR_135058	2
NR_135059	2
NR_135179	2
NR_135253	2
NR_135304	2
NR_136273	2
NR_136276	2
NR_138037	6
NR_138070	2
NR_138255	2
NR_138256	2
NR_138259	2
NR_145325	10
NR_145416	8
NR_145821	2
NR_146153	2
NR_146393	2
NR_146394	2
NR_146452	2
NR_146717	4
NR_147210	2
NR_147607	2
NR_147784	2
NR_147838	2
NR_147839	2
NR_147840	2
NR_147841	2
NR_147842	2
NR_147843	2
NR_148682	2
NR_149039	4
NR_157049	2
NR_158711	2
NR_158712	2
NR_158714	2
NR_160290	2
