rna_id	group	metadata_status	caution_flags	library_size	detected_genes_count_gt0	norm.factors	PC1	PC2	library_size_outlier_iqr	detected_genes_outlier_iqr	norm_factor_outlier_iqr	any_qc_outlier_iqr	caution_flagged_metadata
DU09-03S19475	bacterial	mapped_to_sample_key	none	60654994	19586	1.07005757600472	-4.1122489732154	-51.8015467310873	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-03S19478	non_covid_viral	mapped_to_sample_key	none	48547888	26655	1.39643533338285	-31.8459257376082	26.2396296676157	FALSE	FALSE	FALSE	FALSE	FALSE
DU09-03S19498	bacterial	mapped_to_sample_key	none	54908347	17038	0.835866305046605	30.5230912598988	-77.3962275764627	FALSE	FALSE	FALSE	FALSE	FALSE
DU10-01S0000032	non_covid_viral	mapped_to_sample_key	none	48975664	21260	0.722061657083328	-4.41157120725711	69.8644434368869	FALSE	FALSE	FALSE	FALSE	FALSE
DU10-01S0000709	non_covid_viral	mapped_to_sample_key	none	40459170	16693	1.0457815572429	5.40885708295626	17.3662312519706	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000001	non_covid_viral	mapped_to_sample_key	none	42275083	19075	0.892839574273184	-8.78520458156466	49.0622341218709	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000002	non_covid_viral	mapped_to_sample_key	none	49008580	21769	0.867644961025227	-14.5588953230327	57.5749773486937	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000003	non_covid_viral	mapped_to_sample_key	none	42770028	17017	1.13283654536191	-6.16322225024396	44.6368545403703	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000004	non_covid_viral	mapped_to_sample_key	none	39707051	15944	1.18464059509574	1.96237154806238	31.7468629425857	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000005	non_covid_viral	mapped_to_sample_key	none	50847884	20900	1.01974057613854	-19.0673330330824	41.8729475783207	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000006	non_covid_viral	mapped_to_sample_key	none	54106398	20103	0.901896995618238	-7.68923880339487	56.5110592656644	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000007	non_covid_viral	mapped_to_sample_key	none	58959084	22509	1.14130086851502	-27.1426538680013	21.7828674784944	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000008	non_covid_viral	mapped_to_sample_key	none	63761069	22168	1.01039282317193	-20.8522998809092	34.9366091665278	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-02S0000009	non_covid_viral	mapped_to_sample_key	none	59001957	22153	1.00437024881818	-20.9046489848115	33.5769012879849	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-03S0000878	non_covid_viral	mapped_to_sample_key	none	46411090	21999	1.12908773387136	-25.4874498936489	45.6008944193846	FALSE	FALSE	FALSE	FALSE	FALSE
DU14-03S0000889	non_covid_viral	mapped_to_sample_key	none	50661234	20770	0.986889160355911	-17.8960760817378	19.3685614394173	FALSE	FALSE	FALSE	FALSE	FALSE
