supplementary_table_section	SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
S3D_gene_probe_choice_for_projection	ABHD4	ABHD4	63874	3120014	ILMN_1700633	79.08021
S3D_gene_probe_choice_for_projection	ABHD5	ABHD5	51099	5860215	ILMN_1655702	369.4492
S3D_gene_probe_choice_for_projection	ABHD6	ABHD6	57406	2690402	ILMN_1706344	105.7577
S3D_gene_probe_choice_for_projection	ABHD8	ABHD8	79575	4880288	ILMN_1712707	285.2142
S3D_gene_probe_choice_for_projection	ABI1	ABI1	10006	5130725	ILMN_2329958	492.7184
S3D_gene_probe_choice_for_projection	ABI2	ABI2	10152	2000100	ILMN_1724497	153.9733
S3D_gene_probe_choice_for_projection	ABI3	ABI3	51225	3840717	ILMN_1755658	333.1996
S3D_gene_probe_choice_for_projection	ABI3BP	ABI3BP	25890	6980739	ILMN_1673639	-3.477379
S3D_gene_probe_choice_for_projection	ABITRAM	ABITRAM	54942	3140280	ILMN_2191929	135.284
S3D_gene_probe_choice_for_projection	ABL1	ABL1	25	4180088	ILMN_1713732	120.1624
S3D_gene_probe_choice_for_projection	ABL2	ABL2	27	1990288	ILMN_1741628	8.83452
S3D_gene_probe_choice_for_projection	ABLIM1	ABLIM1	3983	2570112	ILMN_1785424	1578.4
S3D_gene_probe_choice_for_projection	ABLIM2	ABLIM2	84448	2260471	ILMN_1758825	0.3767725
S3D_gene_probe_choice_for_projection	ABLIM3	ABLIM3	22885	2350747	ILMN_1656940	7.043233
S3D_gene_probe_choice_for_projection	ABO	ABO	28	1240575	ILMN_1656979	-14.22656
S3D_gene_probe_choice_for_projection	ABR	ABR	29	620240	ILMN_1672878	1217.658
S3D_gene_probe_choice_for_projection	ABRA	ABRA	137735	3610382	ILMN_1766991	-11.27933
S3D_gene_probe_choice_for_projection	ABRACL	ABRACL	58527	6020681	ILMN_1720858	914.9976
S3D_gene_probe_choice_for_projection	ABRAXAS1	ABRAXAS1	84142	990332	ILMN_3237177	3765.033
S3D_gene_probe_choice_for_projection	ABRAXAS2	ABRAXAS2	23172	510471	ILMN_1762615	330.0974
