scoring_population	final_module_id	deletion_order	final_module_label	final_module_direction	deleted_gene_1	deleted_gene_2	available_gene_count	retained_gene_count	n_bacterial	n_viral	mean_bacterial	mean_viral	median_bacterial	median_viral	median_difference_bacterial_minus_viral	full_module_median_difference	effect_change_from_full	abs_effect_change_from_full	wilcox_W	wilcox_p	nominal_p_lt_0_05	full_module_wilcox_p	full_module_nominal_p_lt_0_05	same_nominal_significance_state_as_full	expected_direction_match	effect_sign_preserved_vs_full	pearson_correlation_with_full_scores	spearman_correlation_with_full_scores	mean_abs_score_deviation	max_abs_score_deviation	absolute_median_difference	worst_case_criterion
main_all_projected_reference	VIR_M1b	leave_two	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	ISG15	ISG20	33	31	52	94	-0.260264531863982	0.333409140286278	-0.353821229503464	0.300624973779345	-0.654446203282808	-0.673898854038133	0.0194526507553242	0.0194526507553242	1211	4.73419690871629e-07	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.999079184766757	0.999014334269248	0.0199737950207833	0.234261742110737	0.654446203282808	largest_sample_score_deviation
main_all_projected_reference	VIR_M1b	leave_two	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	IFI27	OAS2	33	31	52	94	-0.248866875091507	0.320245632924793	-0.351404088273371	0.282444223313741	-0.633848311587111	-0.673898854038133	0.0400505424510212	0.0400505424510212	1285	2.19734202522469e-06	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.998550381792582	0.997493719521206	0.0279356553461501	0.133856391364558	0.633848311587111	largest_wilcox_p
main_all_projected_reference	VIR_M1b	leave_two	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	PTPN11	TOMM70	33	31	52	94	-0.281765536548774	0.360570791272989	-0.389483573864203	0.331292031766	-0.720775605630203	-0.673898854038133	-0.0468767515920704	0.0468767515920704	1150	1.24973084054892e-07	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.996730676515158	0.99631151174819	0.0453087557363397	0.215725807186789	0.720775605630203	lowest_pearson_correlation
main_all_projected_reference	VIR_M1b	leave_two	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	OAS2	ZBTB20	33	31	52	94	-0.260483714480455	0.350968968882711	-0.350164938667063	0.282515387361845	-0.632680326028908	-0.673898854038133	0.0412185280092249	0.0412185280092249	1189	2.94881096291831e-07	TRUE	2.82349820628983e-07	TRUE	TRUE	TRUE	TRUE	0.998864445382501	0.997829170976799	0.0276350143384879	0.0911627980089095	0.632680326028908	smallest_absolute_median_difference
main_all_projected_reference	VIR_M2	leave_one	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	CMKLR1	none	105	104	52	94	-0.169021928590846	0.0901854348173473	-0.212646052821642	0.0218660772408857	-0.234512130062527	-0.25955710262892	0.0250449725663922	0.0250449725663922	1765	0.00555788134104074	TRUE	0.00508827385008718	TRUE	TRUE	TRUE	TRUE	0.99985226309589	0.999796069159155	0.00566859487526231	0.0435158946512554	0.234512130062527	largest_absolute_effect_change
main_all_projected_reference	VIR_M2	leave_one	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	RGS1	none	105	104	52	94	-0.171816564679679	0.0901986110348756	-0.220686614528203	0.0394874373072076	-0.26017405183541	-0.25955710262892	-0.000616949206490747	0.000616949206490747	1760	0.00521864635171066	TRUE	0.00508827385008718	TRUE	TRUE	TRUE	TRUE	0.999813421222786	0.9999364563322	0.00391717419720944	0.113668115637601	0.26017405183541	largest_sample_score_deviation
main_all_projected_reference	VIR_M2	leave_one	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	IFI44L	none	105	104	52	94	-0.167332199779522	0.0857269931697273	-0.222530671090506	0.0389465614311293	-0.261477232521636	-0.25955710262892	-0.001920129892716	0.001920129892716	1785	0.00712270302281264	TRUE	0.00508827385008718	TRUE	TRUE	TRUE	TRUE	0.999846516651347	0.999695581498448	0.00682885844777507	0.023939795048842	0.261477232521636	largest_wilcox_p
main_all_projected_reference	VIR_M2	leave_one	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	ERMAP	none	105	104	52	94	-0.176381285532728	0.0907448406836536	-0.218314282990091	0.0389158647766002	-0.257230147766691	-0.25955710262892	0.00232695486222823	0.00232695486222823	1754	0.00483632381393288	TRUE	0.00508827385008718	TRUE	TRUE	TRUE	TRUE	0.999795548032019	0.999722181173341	0.00700011055152829	0.0805180142869725	0.257230147766691	lowest_pearson_correlation
main_all_projected_reference	VIR_M2	leave_one	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	CMKLR1	none	105	104	52	94	-0.169021928590846	0.0901854348173473	-0.212646052821642	0.0218660772408857	-0.234512130062527	-0.25955710262892	0.0250449725663922	0.0250449725663922	1765	0.00555788134104074	TRUE	0.00508827385008718	TRUE	TRUE	TRUE	TRUE	0.99985226309589	0.999796069159155	0.00566859487526231	0.0435158946512554	0.234512130062527	smallest_absolute_median_difference
main_all_projected_reference	VIR_M2	leave_two	Viral-higher cytokine and innate immune regulation programme	higher_in_viral	CMKLR1	ZBTB39	105	103	52	94	-0.167056856567463	0.0903947475035888	-0.202285986381545	0.0099159920465222	-0.212201978428068	-0.25955710262892	0.047355124200852	0.047355124200852	1770	0.00591689051736134	TRUE	0.00508827385008718	TRUE	TRUE	TRUE	TRUE	0.999715321907243	0.999580316240579	0.00829617898464736	0.0444456446516824	0.212201978428068	largest_absolute_effect_change
