supplementary_table_section	final_module_id	final_module_label	final_module_direction	ENTREZID	SYMBOL	SYMBOL_UPPER	symbol_match	entrez_match	any_match
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9636	ISG15	ISG15	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	3669	ISG20	ISG20	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10219	KLRG1	KLRG1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23547	LILRA4	LILRA4	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4063	LY9	LY9	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10892	MALT1	MALT1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9782	MATR3	MATR3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	255231	MCOLN2	MCOLN2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4210	MEFV	MEFV	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9258	MFHAS1	MFHAS1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	100507436	MICA	MICA	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	11043	MID2	MID2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4343	MOV10	MOV10	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4599	MX1	MX1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4600	MX2	MX2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23138	N4BP3	N4BP3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	64127	NOD2	NOD2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	51251	NT5C3A	NT5C3A	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4938	OAS1	OAS1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4939	OAS2	OAS2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	4940	OAS3	OAS3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	8638	OASL	OASL	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	54726	OTUD4	OTUD4	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	54625	PARP14	PARP14	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	83666	PARP9	PARP9	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	11040	PIM2	PIM2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	122618	PLD4	PLD4	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	403313	PLPP6	PLPP6	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	5359	PLSCR1	PLSCR1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	5366	PMAIP1	PMAIP1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	5371	PML	PML	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	55718	POLR3E	POLR3E	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	639	PRDM1	PRDM1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	5551	PRF1	PRF1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	8575	PRKRA	PRKRA	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23586	RIGI	RIGI	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	8767	RIPK2	RIPK2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	91543	RSAD2	RSAD2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	64108	RTP4	RTP4	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	54809	SAMD9	SAMD9	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	256987	SERINC5	SERINC5	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	710	SERPING1	SERPING1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	117157	SH2D1B	SH2D1B	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	91607	SLFN11	SLFN11	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	146857	SLFN13	SLFN13	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	27293	SMPDL3B	SMPDL3B	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10417	SPON2	SPON2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	6714	SRC	SRC	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	6772	STAT1	STAT1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	6773	STAT2	STAT2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10010	TANK	TANK	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	353376	TICAM2	TICAM2	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	7098	TLR3	TLR3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	51284	TLR7	TLR7	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	7292	TNFSF4	TNFSF4	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9618	TRAF4	TRAF4	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	11277	TREX1	TREX1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9830	TRIM14	TRIM14	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10346	TRIM22	TRIM22	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	22954	TRIM32	TRIM32	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	23087	TRIM35	TRIM35	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10475	TRIM38	TRIM38	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	85363	TRIM5	TRIM5	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	84851	TRIM52	TRIM52	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	117854	TRIM6	TRIM6	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9246	UBE2L6	UBE2L6	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	8725	URI1	URI1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	9213	XPR1	XPR1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	81030	ZBP1	ZBP1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	22890	ZBTB1	ZBTB1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	56829	ZC3HAV1	ZC3HAV1	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	85364	ZCCHC3	ZCCHC3	True	True	True
S3B_matched_locked_module_genes	VIR_M1a	Viral-higher broad antiviral and interferon-stimulated defence programme	higher_in_viral	10771	ZMYND11	ZMYND11	True	True	True
S3B_matched_locked_module_genes	VIR_M1b	Viral-higher viral restriction and type I interferon signalling subgroup	higher_in_viral	200316	APOBEC3F	APOBEC3F	True	True	True
