base_sample_id	sample_group	projection_role
DefiniteViral_16	DefiniteViral	primary_viral
DefiniteViral_17	DefiniteViral	primary_viral
DefiniteViral_18	DefiniteViral	primary_viral
DefiniteViral_19	DefiniteViral	primary_viral
DefiniteViral_20	DefiniteViral	primary_viral
DefiniteViral_21	DefiniteViral	primary_viral
DefiniteViral_22	DefiniteViral	primary_viral
DefiniteViral_23	DefiniteViral	primary_viral
DefiniteViral_24	DefiniteViral	primary_viral
DefiniteViral_25	DefiniteViral	primary_viral
DefiniteViral_26	DefiniteViral	primary_viral
DefiniteViral_27	DefiniteViral	primary_viral
DefiniteViral_28	DefiniteViral	primary_viral
DefiniteViral_29	DefiniteViral	primary_viral
DefiniteViral_30	DefiniteViral	primary_viral
DefiniteViral_31	DefiniteViral	primary_viral
DefiniteViral_32	DefiniteViral	primary_viral
DefiniteViral_33	DefiniteViral	primary_viral
DefiniteViral_34	DefiniteViral	primary_viral
DefiniteViral_35	DefiniteViral	primary_viral
DefiniteViral_36	DefiniteViral	primary_viral
DefiniteViral_37	DefiniteViral	primary_viral
DefiniteViral_38	DefiniteViral	primary_viral
DefiniteViral_39	DefiniteViral	primary_viral
DefiniteViral_40	DefiniteViral	primary_viral
DefiniteViral_41	DefiniteViral	primary_viral
DefiniteViral_42	DefiniteViral	primary_viral
DefiniteViral_43	DefiniteViral	primary_viral
DefiniteViral_44	DefiniteViral	primary_viral
DefiniteViral_45	DefiniteViral	primary_viral
DefiniteViral_46	DefiniteViral	primary_viral
DefiniteViral_47	DefiniteViral	primary_viral
DefiniteViral_48	DefiniteViral	primary_viral
DefiniteViral_49	DefiniteViral	primary_viral
DefiniteViral_50	DefiniteViral	primary_viral
DefiniteViral_51	DefiniteViral	primary_viral
DefiniteViral_52	DefiniteViral	primary_viral
DefiniteViral_53	DefiniteViral	primary_viral
DefiniteViral_54	DefiniteViral	primary_viral
DefiniteViral_55	DefiniteViral	primary_viral
DefiniteViral_56	DefiniteViral	primary_viral
DefiniteViral_57	DefiniteViral	primary_viral
DefiniteViral_58	DefiniteViral	primary_viral
DefiniteViral_59	DefiniteViral	primary_viral
DefiniteViral_60	DefiniteViral	primary_viral
DefiniteViral_61	DefiniteViral	primary_viral
DefiniteViral_62	DefiniteViral	primary_viral
DefiniteViral_63	DefiniteViral	primary_viral
DefiniteViral_64	DefiniteViral	primary_viral
DefiniteViral_65	DefiniteViral	primary_viral
DefiniteViral_66	DefiniteViral	primary_viral
DefiniteViral_67	DefiniteViral	primary_viral
DefiniteViral_68	DefiniteViral	primary_viral
DefiniteViral_69	DefiniteViral	primary_viral
DefiniteViral_70	DefiniteViral	primary_viral
DefiniteViral_71	DefiniteViral	primary_viral
DefiniteViral_72	DefiniteViral	primary_viral
DefiniteViral_73	DefiniteViral	primary_viral
DefiniteViral_74	DefiniteViral	primary_viral
DefiniteViral_75	DefiniteViral	primary_viral
DefiniteViral_76	DefiniteViral	primary_viral
DefiniteViral_77	DefiniteViral	primary_viral
DefiniteViral_78	DefiniteViral	primary_viral
DefiniteViral_79	DefiniteViral	primary_viral
DefiniteViral_80	DefiniteViral	primary_viral
DefiniteViral_81	DefiniteViral	primary_viral
DefiniteViral_82	DefiniteViral	primary_viral
DefiniteViral_83	DefiniteViral	primary_viral
DefiniteViral_84	DefiniteViral	primary_viral
DefiniteViral_85	DefiniteViral	primary_viral
DefiniteViral_86	DefiniteViral	primary_viral
DefiniteViral_87	DefiniteViral	primary_viral
DefiniteViral_88	DefiniteViral	primary_viral
DefiniteViral_89	DefiniteViral	primary_viral
DefiniteViral_90	DefiniteViral	primary_viral
DefiniteViral_91	DefiniteViral	primary_viral
DefiniteViral_92	DefiniteViral	primary_viral
DefiniteViral_93	DefiniteViral	primary_viral
DefiniteViral_94	DefiniteViral	primary_viral
Inflammatory_01	Inflammatory	exclude_from_primary_projection
Inflammatory_02	Inflammatory	exclude_from_primary_projection
Inflammatory_03	Inflammatory	exclude_from_primary_projection
Inflammatory_04	Inflammatory	exclude_from_primary_projection
Inflammatory_05	Inflammatory	exclude_from_primary_projection
Inflammatory_06	Inflammatory	exclude_from_primary_projection
Inflammatory_07	Inflammatory	exclude_from_primary_projection
Inflammatory_08	Inflammatory	exclude_from_primary_projection
Inflammatory_09	Inflammatory	exclude_from_primary_projection
Inflammatory_10	Inflammatory	exclude_from_primary_projection
Inflammatory_11	Inflammatory	exclude_from_primary_projection
Inflammatory_12	Inflammatory	exclude_from_primary_projection
Inflammatory_13	Inflammatory	exclude_from_primary_projection
Inflammatory_14	Inflammatory	exclude_from_primary_projection
Inflammatory_15	Inflammatory	exclude_from_primary_projection
Inflammatory_16	Inflammatory	exclude_from_primary_projection
Inflammatory_17	Inflammatory	exclude_from_primary_projection
Inflammatory_18	Inflammatory	exclude_from_primary_projection
Inflammatory_19	Inflammatory	exclude_from_primary_projection
Inflammatory_20	Inflammatory	exclude_from_primary_projection
Inflammatory_21	Inflammatory	exclude_from_primary_projection
Inflammatory_22	Inflammatory	exclude_from_primary_projection
Inflammatory_23	Inflammatory	exclude_from_primary_projection
Inflammatory_24	Inflammatory	exclude_from_primary_projection
Inflammatory_25	Inflammatory	exclude_from_primary_projection
Inflammatory_26	Inflammatory	exclude_from_primary_projection
Inflammatory_27	Inflammatory	exclude_from_primary_projection
Inflammatory_28	Inflammatory	exclude_from_primary_projection
Inflammatory_29	Inflammatory	exclude_from_primary_projection
